AA,PHI,PSI,_COUNT,COUNT,PROB,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,-120,150,6,43,0.13953488372093023,-63.95176873012861,174.26580896198047,-179.20229000693178,-82.58960685605292,4.257301303547081,4.221901378609952,7.320897554527651,11.651424429083551
ARG,-90,0,11,41,0.2682926829268293,-65.59432604452456,175.11364136093192,178.10663661511026,179.19869074454525,6.157750305213353,9.881484445454364,15.17197224289655,17.65409245946952
ARG,-90,0,5,41,0.12195121951219512,-75.3139737722382,167.49340427355318,175.976395278346,-94.6801883422421,7.605367364288283,6.220834298316358,9.045699264102032,12.50904301552647
ARG,-90,120,5,32,0.15625,-178.01461622619806,174.41477002013,-72.50129626459797,163.28250055593492,7.913780396257442,12.968864908218013,18.30272351507428,30.762183437096514
ARG,-60,-60,11,104,0.10576923076923077,179.12885825300688,-178.07031664533173,62.90288845631851,83.62613454697494,5.332282541137791,8.806644705115145,8.63380896027081,7.857203602962348
ARG,-60,-60,8,104,0.07692307692307693,176.66592462818807,-168.49401844098296,69.96784430846861,-156.76775794323694,8.862063834142562,8.184581994947502,9.996451169406503,18.18361566791726
ARG,-60,-60,5,104,0.04807692307692308,-172.40826553312905,173.61762704198887,67.49887047872457,-103.24883455290907,7.121475055225175,5.299196215877858,5.6264883165061,6.745543028295346
ARG,-60,-60,5,104,0.04807692307692308,-179.9666753599507,-174.29595307506113,172.9048331215195,78.80862498650866,4.621234951970353,11.813419741261525,18.14021194453035,13.000022335099757
ARG,-60,-60,7,104,0.0673076923076923,-172.41803767405932,170.69053419481165,158.93894912306027,178.46305929507753,8.995406707455448,11.019403733536938,8.202765360941049,9.043255818438809
ARG,-60,-60,7,104,0.0673076923076923,-173.98535878423505,167.77286600594636,175.62604542641006,-78.2412710589739,6.863858037611785,18.73259643415174,10.953432412285084,6.0538786221015535
ARG,-60,-60,5,104,0.04807692307692308,-170.35538049389535,170.04035028179428,-62.83798193937407,109.23762655266758,16.67805454466472,11.818859897996916,9.841091568600708,3.253073168260942
ARG,-60,-60,7,104,0.0673076923076923,-177.82726913271784,176.39020287759783,-78.75494481032165,164.65753104290675,7.646024409095015,22.995665809550417,9.711079466980303,13.641088191885299
ARG,-60,-60,5,104,0.04807692307692308,-64.93401727939883,-168.36179534596346,171.30870019905197,99.97872325338389,8.602348724475489,2.4872820694888564,9.528201690668691,8.947807930578406
ARG,-60,-60,6,104,0.057692307692307696,-71.80287102369697,179.65529520075344,-175.22637055218198,175.04993661422864,3.131819267418374,6.1408202236827805,12.225540038299163,9.25326294973612
ARG,-60,-60,8,104,0.07692307692307693,-87.25274814101164,-179.8519039050581,-86.64126304977188,141.9269060875449,14.884646939477289,10.180938418751259,12.266213088642811,14.668562946007071
ARG,-60,-30,5,252,0.01984126984126984,63.76291403528301,179.11630360716757,173.81495673457576,-83.7193963609068,4.164394074239266,5.795523642084955,3.8241424805810307,2.6036466091857737
ARG,-60,-30,8,252,0.031746031746031744,-177.13363312081395,170.16244162506894,67.61388787620956,72.50189673009392,15.172671986363019,12.063309099273328,9.308975873993456,14.574519925423408
ARG,-60,-30,11,252,0.04365079365079365,-170.4024298408044,171.90285285055865,61.835746941470845,-149.60452527509608,12.528146369290663,20.456414703067292,9.955891910948285,21.110984362323148
ARG,-60,-30,15,252,0.05952380952380952,179.48087633177522,-179.00117037735893,-175.6778832314173,-176.83508336962092,10.68105028732422,23.107615874031247,13.021357101903444,16.383614896200346
ARG,-60,-30,8,252,0.031746031746031744,-178.49940905517425,-177.77895598818247,-173.54890458773943,-88.4993765164847,11.291498998621845,12.634078131261207,23.002831058592122,8.866302309700057
ARG,-60,-30,16,252,0.06349206349206349,-175.65344382567687,-178.10920316241766,-64.7629675602135,172.59016195597704,10.459639179400531,14.11772369561927,7.778607870592136,17.832504117185955
