AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,-180,-180,3,7,0.42857143,57.5,-172.42,-163.67,-86.1,3.26,12.65,9.23,10.07
ARG,-180,150,3,8,0.375,68.55,173.67,173.14,85.62,5.18,7.3,3.67,3.68
ARG,-180,150,3,8,0.375,52.57,-174.64,-52.84,179.63,12.35,15.53,4.33,7.38
ARG,-150,-180,3,33,0.09090909,60.47,177.36,59.86,-170.88,7.66,2.72,8.91,20.09
ARG,-150,-180,6,33,0.18181818,60.41,-175.61,174.8,92.14,4.1,12.4,9.75,6.75
ARG,-150,-180,4,33,0.12121212,53.71,173.99,175.97,-174.28,12.17,13.12,16.75,12.95
ARG,-150,-180,2,33,0.06060606,59.09,-166.94,-171.74,-98.74,4.42,10.26,6.51,7.43
ARG,-150,-180,2,33,0.06060606,53.97,152.07,-64.15,161.66,2.04,0.24,11.26,9.0
ARG,-150,-180,3,33,0.09090909,-49.61,-168.04,64.02,174.33,2.59,4.73,4.89,7.64
ARG,-150,0,2,5,0.4,-66.3,-161.79,94.47,95.96,13.85,15.91,12.01,7.08
ARG,-150,30,2,9,0.22222222,-70.25,179.51,74.48,178.3,0.65,1.67,0.21,0.43
ARG,-150,30,2,9,0.22222222,-53.26,174.56,178.11,-163.17,10.59,8.47,8.55,8.93
ARG,-150,60,2,10,0.2,-171.5,-175.98,-162.18,175.07,1.1,0.89,0.53,0.88
ARG,-150,60,4,10,0.4,-62.81,173.71,67.43,88.13,0.5,0.16,5.17,6.87
ARG,-150,120,3,36,0.08333333,153.78,-179.6,59.42,-153.37,21.86,19.73,24.0,14.35
ARG,-150,120,5,36,0.13888889,177.19,163.26,169.27,86.94,5.47,5.79,14.47,11.17
ARG,-150,120,4,36,0.11111111,-176.22,-167.14,175.32,-179.12,8.24,10.05,12.79,9.46
ARG,-150,120,4,36,0.11111111,-167.52,171.11,-78.88,154.87,7.73,19.65,17.9,13.29
ARG,-150,120,3,36,0.08333333,-178.17,-168.46,-63.01,-85.19,7.05,7.27,11.13,8.89
ARG,-150,120,2,36,0.05555556,-63.96,-171.43,173.94,105.97,7.48,4.97,6.07,4.59
ARG,-150,150,2,148,0.01351351,55.15,97.93,170.13,176.25,3.79,1.99,6.96,6.19
ARG,-150,150,4,148,0.02702703,55.63,-177.19,59.94,88.85,6.88,8.26,6.94,7.25
ARG,-150,150,4,148,0.02702703,63.74,-164.89,68.25,-108.73,9.74,12.24,12.21,8.4
ARG,-150,150,13,148,0.08783784,65.02,-175.41,178.78,83.22,6.08,11.39,6.49,3.08
ARG,-150,150,18,148,0.12162162,66.18,178.85,178.78,-178.31,8.17,10.25,8.49,11.59
ARG,-150,150,7,148,0.0472973,66.74,-162.61,-175.03,-80.71,4.22,4.52,4.32,9.66
ARG,-150,150,3,148,0.02027027,64.42,-169.91,-75.25,167.02,9.57,4.87,10.18,24.97
ARG,-150,150,2,148,0.01351351,53.34,-171.41,-68.63,-82.9,5.45,10.08,17.97,5.66
ARG,-150,150,6,148,0.04054054,-166.81,175.25,68.07,-173.08,11.62,6.51,8.87,12.17
ARG,-150,150,3,148,0.02027027,173.92,175.07,-175.46,65.05,2.25,1.09,1.32,6.24
ARG,-150,150,9,148,0.06081081,-172.65,170.09,179.49,-174.69,9.92,11.14,10.13,11.73
ARG,-150,150,3,148,0.02027027,178.66,-179.67,-62.13,146.19,9.73,15.34,23.0,11.0
ARG,-150,150,4,148,0.02702703,-159.47,-171.75,-64.95,-88.76,5.4,6.86,2.91,7.49
ARG,-150,150,3,148,0.02027027,-87.98,-173.77,68.66,84.57,11.6,7.34,18.88,6.8
ARG,-150,150,9,148,0.06081081,-56.59,-179.45,67.05,177.41,13.15,18.29,8.92,17.33
ARG,-150,150,2,148,0.01351351,-72.75,176.41,85.15,-104.58,19.34,8.57,9.23,12.63
ARG,-150,150,5,148,0.03378378,-73.57,-175.17,177.4,83.01,17.67,13.67,9.58,13.77
ARG,-150,150,3,148,0.02027027,-55.93,-169.57,172.08,177.21,6.01,6.32,6.48,20.74
ARG,-150,150,5,148,0.03378378,-73.33,175.37,173.89,-83.14,10.9,12.38,6.91,5.7
ARG,-150,150,5,148,0.03378378,-67.78,-174.22,-74.51,-175.69,14.37,7.21,10.2,14.95
ARG,-150,150,3,148,0.02027027,-60.28,-157.7,-58.84,-94.06,1.3,10.14,8.14,12.82
ARG,-150,150,2,148,0.01351351,-57.38,-67.27,159.48,91.74,11.36,4.49,11.95,5.48
ARG,-150,150,15,148,0.10135135,-67.75,-70.62,-175.16,-82.92,5.15,4.56,2.15,5.29
ARG,-150,150,2,148,0.01351351,-56.84,-79.72,-67.43,-152.66,0.83,11.39,12.98,5.31
ARG,-150,150,3,148,0.02027027,-67.91,-73.89,-61.36,-75.93,3.73,3.43,4.08,3.11
ARG,-120,-180,2,22,0.09090909,56.08,-179.65,175.61,-73.23,5.34,5.99,10.7,4.0
ARG,-120,-180,2,22,0.09090909,174.2,-178.7,-178.99,-107.14,0.0,0.01,0.0,0.0
ARG,-120,-180,2,22,0.09090909,-87.98,87.24,165.54,162.82,15.48,12.93,11.67,1.53
ARG,-120,-180,2,22,0.09090909,-63.14,-174.22,68.41,80.98,5.93,11.58,7.16,0.9
ARG,-120,-180,3,22,0.13636364,-54.8,-175.95,78.65,176.96,8.8,20.4,7.95,3.21
ARG,-120,-180,4,22,0.18181818,-53.72,-172.6,-78.81,156.85,7.62,10.76,4.36,11.29
ARG,-120,-90,2,2,1.0,-54.45,177.91,101.29,-104.7,0.02,0.01,0.0,0.01
ARG,-120,-60,2,4,0.5,-170.15,143.79,165.44,-178.92,5.25,23.23,2.82,5.93
ARG,-120,-30,2,19,0.10526316,176.79,-173.67,176.18,76.01,2.51,1.75,2.58,0.98
ARG,-120,-30,3,19,0.15789474,-55.37,177.77,56.92,76.69,7.69,7.22,6.65,2.72
ARG,-120,-30,2,19,0.10526316,-65.5,171.4,-159.55,-78.92,8.71,8.02,33.39,13.62
ARG,-120,-30,2,19,0.10526316,-68.82,-158.79,-80.15,-175.24,10.74,13.98,11.17,49.27
ARG,-120,-30,2,19,0.10526316,-61.98,-63.0,-176.71,153.3,1.1,5.99,24.11,9.82
ARG,-120,0,2,50,0.04,56.17,-169.66,-177.07,-179.57,5.26,13.73,5.91,4.03
ARG,-120,0,2,50,0.04,-68.99,115.08,67.38,-161.18,16.39,3.14,10.64,0.31
ARG,-120,0,6,50,0.12,-64.48,176.22,58.95,89.09,3.01,6.45,7.8,6.01
ARG,-120,0,5,50,0.1,-68.09,177.46,72.03,-170.85,6.68,18.39,13.7,8.2
ARG,-120,0,3,50,0.06,-65.42,178.97,177.43,74.13,4.85,6.48,4.65,11.77
ARG,-120,0,8,50,0.16,-62.37,179.86,173.48,171.73,3.9,10.28,6.24,8.94
ARG,-120,0,2,50,0.04,-62.46,174.56,-172.94,-80.21,4.25,9.83,1.45,1.63
ARG,-120,0,6,50,0.12,-63.22,-174.4,-64.69,147.29,5.66,10.72,6.1,25.61
ARG,-120,0,4,50,0.08,-63.43,-176.96,-65.82,-93.55,4.11,16.44,8.81,9.1
ARG,-120,0,2,50,0.04,-59.91,-81.42,165.84,92.21,6.9,7.7,18.94,7.08
ARG,-120,0,2,50,0.04,-53.49,-74.22,-177.6,176.55,6.67,6.71,12.39,5.75
ARG,-120,30,2,33,0.06060606,49.14,-171.89,-170.88,75.8,0.18,9.53,12.05,8.17
ARG,-120,30,2,33,0.06060606,-92.04,158.31,69.5,171.18,20.08,17.3,4.73,8.49
ARG,-120,30,2,33,0.06060606,-69.47,-176.41,-170.88,82.13,11.65,19.01,7.87,12.61
ARG,-120,30,6,33,0.18181818,-50.19,-167.08,-177.36,-177.77,5.75,8.26,5.46,9.42
ARG,-120,30,3,33,0.09090909,-86.84,161.41,165.94,-103.78,15.12,9.93,24.46,5.71
ARG,-120,30,4,33,0.12121212,-73.67,-176.32,-74.78,111.77,4.12,2.43,2.5,4.25
ARG,-120,30,3,33,0.09090909,-61.31,-175.76,-74.97,163.68,15.88,12.63,5.37,11.61
ARG,-120,30,2,33,0.06060606,-61.64,-67.81,-71.63,-176.86,0.92,4.32,3.39,2.95
