AA	PHI	PSI	_COUNT	COUNT	PROB	B_CHI1	B_CHI2	B_CHI3	B_CHI4	B_CHI1Sig	B_CHI2Sig	B_CHI3Sig	B_CHI4Sig
ARG	-150	-180	6	35	0.17142857142857143	60.40580739350808	-175.61000261036995	174.80481179310732	92.13678915593405	4.09684876409382	12.404620204155052	9.747211753853314	6.753607361447748
ARG	-150	120	5	42	0.11904761904761904	177.18808581797563	163.2641913754242	169.26975730323716	86.94412990079587	5.474644861922521	5.794178399659222	14.473037636185198	11.174287747713318
ARG	-150	120	6	42	0.14285714285714285	-177.36421592539645	-171.8177795965457	174.84005882750037	-173.15483879152129	8.405831095650347	7.829077130695504	7.116345838860047	9.316048030123047
ARG	-150	150	15	165	0.09090909090909091	65.44058057771402	-177.02800449305087	179.93027143917243	82.38295582921072	5.274805184172831	10.534044850188772	6.0001628228736585	4.166714302176079
ARG	-150	150	19	165	0.11515151515151516	66.27502669868849	179.9512425744677	177.78623090803802	-177.1589841190959	7.674415367998427	10.723153813535317	9.26594679129787	12.200786306512658
ARG	-150	150	7	165	0.04242424242424243	66.73639067788629	-162.60590668213933	-175.03088358187856	-80.71489919448145	4.223708100350458	4.5171828075198	4.316136674688415	9.661507288202023
ARG	-150	150	6	165	0.03636363636363636	-166.81411297957146	175.24536670045742	68.06886982383308	-173.08418997664037	11.623436436715513	6.508823027386808	8.869080905812302	12.169713204790808
ARG	-150	150	9	165	0.05454545454545454	-172.64884161466543	170.09310060438202	179.48633455182068	-174.68974947048574	9.920321727169739	11.136300186710343	10.125289349633887	11.725279408064818
ARG	-150	150	9	165	0.05454545454545454	-56.59275849778119	-179.44770570375005	67.05308103136733	177.41189897751738	13.145113396087341	18.289549849845958	8.91859158172613	17.32514704665147
ARG	-150	150	6	165	0.03636363636363636	-76.08492656223292	-170.93343622639347	177.84464533689467	79.74992463844922	14.535050097561362	13.339653618372866	7.804877516919764	12.688706439336029
ARG	-150	150	5	165	0.030303030303030304	-73.32829897981178	175.37073970601713	173.88960834880788	-83.13582869055902	10.903812812660911	12.378192084635167	6.909052998353886	5.696299431995586
ARG	-150	150	5	165	0.030303030303030304	-67.78360565479997	-174.217269304823	-74.50596742460706	-175.68731250552466	14.374338662558225	7.205019845464862	10.197956672538474	14.95123211035598
ARG	-150	150	15	165	0.09090909090909091	-67.75089626805125	-70.62062384484477	-175.16242834379958	-82.92267578232472	5.151488441614199	4.556350393592727	2.149749010468497	5.293180580296572
ARG	-150	150	9	165	0.05454545454545454	-22.95009589056437	-10.166750961680721	-9.40145059546827	-10.178356144224017	30.79468167401806	27.6484961334124	22.628757837773076	28.00916084522011
ARG	-120	0	6	54	0.1111111111111111	-64.4751101169462	176.21748929885524	58.95254080163217	89.08835067037751	3.0090471669790615	6.452613800156861	7.796654857569943	6.014270816080435
ARG	-120	0	5	54	0.09259259259259259	-68.08987732340125	177.46357211979577	72.0328630061744	-170.84532141129853	6.678832693928936	18.39246862253134	13.703680414506955	8.201025540357671
ARG	-120	0	8	54	0.14814814814814814	-62.37426331141649	179.8621390988911	173.4815462207934	171.72513666584015	3.8978131589554406	10.27813084082721	6.243244865182636	8.941171913407656
ARG	-120	0	6	54	0.1111111111111111	-63.222751106437045	-174.400633975243	-64.68678287207814	147.2939441416191	5.662034046527704	10.724238427662028	6.1042618794518315	25.610310604758173
ARG	-120	0	5	54	0.09259259259259259	-61.03445135260466	-168.55354705931785	-61.60351608213899	-90.33056715990594	5.832962303552307	19.12176232083157	16.522164541851737	17.627185117720245
ARG	-120	30	6	33	0.18181818181818182	-50.189197339157325	-167.0785481221554	-177.35633424644118	-177.7657168360695	5.754712070775804	8.260785154960551	5.459144113939997	9.422705701751553
ARG	-120	90	5	25	0.2	178.69696252642223	175.04391568391807	-91.11467271372649	173.8259104017763	4.189488478130722	4.428813431592758	8.307878585464783	4.289635170752302
ARG	-120	120	11	151	0.0728476821192053	-176.461595283257	170.8922008925327	65.26822557879743	86.59962712621386	7.841853311300868	11.258014060119327	12.024655384857855	10.070562554313593
ARG	-120	120	8	151	0.052980132450331126	178.97733490657006	169.29798890928186	68.60712843453192	-144.30968051269093	2.9338454522728905	8.059271394989171	9.34691704379672	18.29160967073118
ARG	-120	120	5	151	0.033112582781456956	175.5320589580535	-171.85042742975614	-173.0554441229831	93.04365543193576	7.492955427264729	6.438315705120603	12.109752591368979	9.82619723570958
ARG	-120	120	10	151	0.06622516556291391	-177.85280293162984	-171.93188843644043	-172.67401741194448	164.7375320032914	8.588092250854865	13.234989761333669	9.210186092427596	22.324681287874053
ARG	-120	120	9	151	0.059602649006622516	177.16592398563301	-179.48854198877797	-77.15230219915802	108.35296677031792	5.9647687941664005	6.943514642432325	18.13870539255874	5.780774600954004
ARG	-120	120	13	151	0.08609271523178808	179.78277921373376	169.31805150985983	-65.92313993874517	179.93365717745323	8.848647525272462	7.549325982321976	10.568417649350714	17.255039082438177
ARG	-120	120	11	151	0.0728476821192053	-177.01853466053748	179.02033582973627	-68.17806521806837	-83.80004891368522	5.577882906757031	8.086302239457304	7.858436600869625	8.116706906969924
ARG	-120	120	11	151	0.0728476821192053	-64.16051374275095	-177.59702004743474	66.26560476826181	-170.57558414749113	7.747417378361127	11.840161421336589	7.018595557832695	12.509113024823455
ARG	-120	120	5	151	0.033112582781456956	-64.86036648323409	-179.0735952407675	174.29010522880046	83.08643804257777	6.68630503627356	13.901690296904787	16.46372154412105	7.742624970613427
ARG	-120	120	14	151	0.09271523178807947	-67.1734305195023	178.62432463814224	-179.25046505642348	164.23336160111586	7.8801822355827555	10.717212304771428	14.30268714444046	18.40784845690075
ARG	-120	120	9	151	0.059602649006622516	-69.01718522833686	177.139792400725	-175.8065669531852	-87.26905869569418	8.040206995638586	11.763387412625729	9.52682607105854	8.814774664653068
ARG	-120	120	5	151	0.033112582781456956	-62.09153672180545	-162.7408167574222	-57.078472354147735	164.3868022931932	13.208634564095473	3.2709066354620546	13.132480080674481	13.89223309963686
ARG	-120	120	7	151	0.046357615894039736	-15.416144171689623	-22.67461862652142	-17.273941536371975	-25.233642598501927	21.611445248885126	33.63573355608372	24.689451044942732	41.09551818538051
ARG	-120	150	6	154	0.03896103896103896	-168.76930254209685	169.32915771604814	56.26472183049376	-178.77013706862067	6.450789659892145	12.397837791467056	6.741752183354709	18.22329489491091
ARG	-120	150	5	154	0.032467532467532464	-65.03134828812038	172.65701716258462	69.75173854899128	-176.6011992408227	17.925852817681594	10.917118776195059	8.356984786292355	12.755868087044476
ARG	-120	150	11	154	0.07142857142857142	-70.99132621515484	-174.91700794298694	171.74778158379772	81.38187420854581	10.73683605093866	15.286073284503415	14.107925497411108	9.888335944779204
ARG	-120	150	14	154	0.09090909090909091	-63.78815842011451	179.97121545881456	-175.15832538897942	-159.48582852406562	6.208664767180248	7.287456811116563	8.889778259332859	20.574030350431403
ARG	-120	150	19	154	0.12337662337662338	-67.43040291410121	173.92611968843113	-177.05489805001045	-87.10900827146142	6.616742382135802	13.507125181267238	11.27664798115641	11.079398526718355
ARG	-120	150	12	154	0.07792207792207792	-68.10104970832509	-167.39284253839534	-68.15681475577763	176.60736653517836	14.17814615509605	28.14830018001575	13.470945606831501	23.315457395334665
ARG	-120	150	6	154	0.03896103896103896	-64.98133191495944	177.8972150181522	-64.58044360262643	-91.27348934026602	5.591639510478743	7.177214777306994	8.160980873609333	9.078818707031544
ARG	-120	150	11	154	0.07142857142857142	-63.51797076285086	-69.12760804744036	177.66777997979952	-89.53211808555987	6.259447839539572	4.256178205387188	2.366595943110686	8.306263944821774
ARG	-120	150	12	154	0.07792207792207792	-3.8129399763011627	-3.7038690026035757	-0.7406890166765384	-1.1014085970709677	13.241026093438176	17.54701550638319	8.042855151167824	9.687116975480494
ARG	-90	-180	5	22	0.22727272727272727	-1.4908163270793073	0.0	0.0	0.0	9.28719164833257	0.0	0.0	0.0
ARG	-90	-30	8	178	0.0449438202247191	179.10686268751687	64.20642396451389	-169.3339616159211	83.48243485953567	10.070525533949361	3.452357020338545	5.868861064380295	5.656821074640418
ARG	-90	-30	6	178	0.033707865168539325	-172.59201877070626	161.02037645468337	164.7601490582859	78.71487292442522	8.632333901159235	14.963486172805013	12.188034182296532	9.267623780250736
ARG	-90	-30	6	178	0.033707865168539325	-172.46661829492814	179.23481743767329	-177.72881097973413	-81.7444916226328	10.455419826096811	11.351389373960686	10.336852569270658	6.472853036581493
ARG	-90	-30	7	178	0.03932584269662921	-170.56832853247286	173.65422970974927	-53.92921896143028	177.82708383259137	14.65795682676422	10.785031424272443	14.106834665765966	12.515155261192742
ARG	-90	-30	5	178	0.028089887640449437	-60.784976882852	173.09287759487862	77.88409840661832	80.85337463366822	9.541573162252783	10.87934634401518	13.257455847256827	5.527847896729355
ARG	-90	-30	15	178	0.08426966292134831	-69.57824902234778	-174.2381528163726	64.31996489314194	-175.30022209867516	9.503829664848208	15.300781911571939	8.717616637492625	14.573632482765566
ARG	-90	-30	5	178	0.028089887640449437	-57.620860935972686	-167.74407631654486	57.31029653503522	-105.01277922822307	2.494073133850291	5.615153671078366	5.27116304127349	1.2466898518145066
ARG	-90	-30	10	178	0.056179775280898875	-74.95638531274771	-176.65566462243132	-170.5479179725721	78.7553336183102	4.265724770983184	13.175207543079997	10.376263483298807	14.393349398679879
ARG	-90	-30	18	178	0.10112359550561797	-65.70189972862276	-179.25102939577144	-177.44620869687282	-177.23249131696463	7.366491125510776	8.504515689059241	11.18601501618446	14.95682219306729
ARG	-90	-30	9	178	0.05056179775280899	-70.17185965971002	-178.12731340439657	-176.87223266529656	-89.66077223435698	6.703798638837218	15.64155044989175	18.110541116718473	7.032884061411265
ARG	-90	-30	11	178	0.06179775280898876	-67.45075136178352	-168.8093295194677	-56.002300088356996	166.03017982076074	12.571721278955554	21.13577477571379	15.854177589534316	11.792045618790468
ARG	-90	-30	9	178	0.05056179775280899	-69.19435873159014	-164.05973744752683	-62.31362879380473	-85.58046353465316	8.52276923930708	8.716957218703612	9.762845285822655	5.1161339927123235
ARG	-90	-30	10	178	0.056179775280898875	-63.07654670536535	-65.78551703952056	-171.48691164911668	-177.91185816664873	9.024038828515533	12.228342182757657	16.24350201843812	19.25778781622407
