AA,PHI,PSI,_COUNT,COUNT,PROB,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,-150,-180,13,34,0.38235294117647056,69.73470229341633,-175.48864031170186,175.6006396097752,-175.93124279005292,7.265697387007784,13.454226723540394,6.0713239890677535,11.158004083110438
ARG,-150,-180,5,34,0.14705882352941177,61.09462964911792,-176.44954374543664,-174.04514685142016,-87.38803243883943,1.683842178837993,6.120017063282455,4.7749089761584464,3.1409815466073114
ARG,-150,150,5,127,0.03937007874015748,60.40657906032207,175.02276380201323,61.74352841756788,80.40122522133419,5.8583507263396335,22.812597106067344,12.138910996964103,13.610303197941091
ARG,-150,150,5,127,0.03937007874015748,66.32475804250336,169.1959711581106,67.5547410729215,-174.78232567387946,9.068875304884601,22.12387266864934,12.245028655776585,31.774468843015864
ARG,-150,150,7,127,0.05511811023622047,65.0932607308091,165.11158738288916,176.83125981466972,87.89752759228317,5.856164684641705,9.207994106125419,4.78085792131516,8.222660005511056
ARG,-150,150,7,127,0.05511811023622047,64.4637511181157,176.61777353826247,177.67464614478584,-177.85628484642197,3.9407380452272225,7.770041265191445,5.0811281316287245,8.694257350071123
ARG,-150,150,5,127,0.03937007874015748,64.49985470077164,178.9999491361355,175.16900310517835,-80.66384795867498,5.753323835804163,16.896964481584433,3.704587529893709,12.256155906162942
ARG,-150,150,5,127,0.03937007874015748,68.11539238587599,-167.3669445877996,-64.61592529630697,-176.27745822695783,11.444979745089137,6.791819097230044,9.178816005092255,24.358604102783534
ARG,-150,150,6,127,0.047244094488188976,-177.30632015601773,174.1141941416695,59.07276078767537,179.27542216481086,9.110245765382361,6.731401209008268,12.024399874882816,11.47360399719309
ARG,-150,150,6,127,0.047244094488188976,-173.7311191208345,177.63247884270186,-172.90757899805016,-176.44389776573885,9.93099012602637,18.641777780773193,12.08867644392928,11.243686810465018
ARG,-150,150,5,127,0.03937007874015748,-63.79897667172452,-178.49870556371854,62.131085295365025,170.10636375528745,9.398361768374135,15.077896855575705,18.070393772476873,30.252403303663776
ARG,-150,150,8,127,0.06299212598425197,-63.70292038352815,-170.89420146474265,-173.32777939102257,-172.92427960684668,7.059536077888858,13.664056815142306,12.927416551349003,14.751404784193392
ARG,-150,150,6,127,0.047244094488188976,-73.08520554816359,-176.38627084488016,-63.77108178932411,-179.01891437921398,10.962882544401099,6.703630880156398,8.118512986925646,14.411390019121884
ARG,-150,150,13,127,0.10236220472440945,-68.35211627104154,-71.46725227551839,-176.02702057367128,-84.4689209244751,4.815053124406915,3.7369838445307275,3.8563878193676873,7.04768502228349
ARG,-150,150,14,127,0.11023622047244094,-36.96631352727886,-38.09999931966017,-17.235709425928285,-25.690240506592463,27.90490980555775,38.29723631756412,24.31540178603827,41.38801314876239
ARG,-120,0,9,34,0.2647058823529412,-61.07666582877206,176.56004670912387,-176.96450341474306,177.8981760727293,3.142900906372352,7.818575992253332,8.644419681361578,8.175725739096052
ARG,-120,30,5,37,0.13513513513513514,-70.5126954970279,166.21590896294464,45.66729609713572,-147.84629980248593,7.042906165106099,7.169436529733867,14.929727456431573,15.363717892294908
ARG,-120,30,5,37,0.13513513513513514,-54.61724136840733,-161.73350292253974,-75.06504291495781,168.6006830765619,14.37810343205105,10.415540971419375,9.832221245745103,33.114254949176456
ARG,-120,120,7,132,0.05303030303030303,-178.20168229977517,172.11891651116872,61.77623452653661,75.56273315556004,3.818653063628941,9.702193774568514,7.133973507604885,8.052761800913508
ARG,-120,120,8,132,0.06060606060606061,-176.98939594745966,166.64779007970978,66.19036022347261,-169.52705899253434,7.508232513935333,13.503375558467871,11.143207392965595,14.62626912570267
ARG,-120,120,11,132,0.08333333333333333,179.81191067094244,178.53385421876112,-173.47156481456423,169.56186351894394,7.968324088933095,8.929821213767154,8.79746839756849,16.993750699152624
ARG,-120,120,6,132,0.045454545454545456,172.9561676844854,175.4225202154204,177.15549527519227,-90.50786353767542,23.974871822863598,11.455620247493398,12.769379355251468,8.060805372172931
