AA	PHI	PSI	_COUNT	COUNT	PROB	B_CHI1	B_CHI2	B_CHI3	B_CHI4	B_CHI1Sig	B_CHI2Sig	B_CHI3Sig	B_CHI4Sig
ARG	-150	-180	8	47	0.1702127659574468	60.48530143654824	-174.51078082957767	173.20425129536906	90.87128023662332	4.668941011712231	11.150347649980091	10.419247350324873	8.0438454272729
ARG	-150	120	6	58	0.10344827586206896	178.62307502792976	166.1891213584422	173.79998705821987	82.90740274846418	8.47034977837595	8.188061721052886	14.316273577956808	11.420672704421696
ARG	-150	120	7	58	0.1206896551724138	-177.6456902659337	-173.79881373685728	175.93286705835487	-175.54961537670184	7.303816995589304	7.279648109161766	5.892535122571965	8.99851150905422
ARG	-150	120	5	58	0.08620689655172414	-171.75195169405498	171.00171219270067	-72.27947421052984	162.22714856070863	10.285728120813184	15.847995702881272	16.33636045578523	20.158861979021662
ARG	-150	120	5	58	0.08620689655172414	-61.567714168766216	-170.63151202275952	178.63724847352702	176.7676870698788	4.754426309274762	3.804348730158104	10.97357641891885	3.5162833033703187
ARG	-150	150	5	196	0.025510204081632654	58.85455143767493	-174.52074321779583	57.64046935853763	90.67891087694991	7.816983042108524	10.717357374217345	9.120318051474161	5.8710423596464825
ARG	-150	150	5	196	0.025510204081632654	61.082574329100964	-166.1555340788874	67.30484619086776	-110.24830046766355	7.541587179289321	10.004096783214008	9.194730275536198	6.544003095153213
ARG	-150	150	17	196	0.08673469387755102	66.17177995815405	-179.4435592961786	178.35187333011902	82.5601199364664	4.744025882498506	11.248957312706025	6.62106889894368	4.01067290579683
ARG	-150	150	19	196	0.09693877551020408	66.27502669868849	179.9512425744677	177.78623090803802	-177.1589841190959	7.674415367998427	10.723153813535317	9.26594679129787	12.200786306512658
ARG	-150	150	8	196	0.04081632653061224	65.45373049254438	-161.8889720725044	-175.75190797029236	-78.53162379350887	4.858974143427385	4.044396425845718	4.000954913091243	9.25486471910616
ARG	-150	150	6	196	0.030612244897959183	-166.81411297957146	175.24536670045742	68.06886982383308	-173.08418997664037	11.623436436715513	6.508823027386808	8.869080905812302	12.169713204790808
ARG	-150	150	9	196	0.04591836734693878	-172.64884161466543	170.09310060438202	179.48633455182068	-174.68974947048574	9.920321727169739	11.136300186710343	10.125289349633887	11.725279408064818
ARG	-150	150	6	196	0.030612244897959183	-177.34878439319024	178.72971912319917	-69.2929571242554	158.36565699909733	7.065187918869517	9.183786476397401	10.158159597615072	15.0338178805257
ARG	-150	150	10	196	0.05102040816326531	-53.5630476385634	176.32359642133287	68.95277757928419	175.0396332775019	15.53055804205922	20.521125072546393	9.69153464912434	16.183688059634513
ARG	-150	150	10	196	0.05102040816326531	-71.54342265884009	-174.55378655711849	175.0154093603791	78.26519841004351	11.443869752786176	9.77589929559025	8.726557961470364	10.340190364473182
ARG	-150	150	7	196	0.03571428571428571	-62.84930922814578	-173.9824453589381	-177.38947066592786	177.50394748181094	6.214102674896194	11.74308948386137	10.655206642870382	17.195901999317744
ARG	-150	150	6	196	0.030612244897959183	-75.90140987978555	173.33333981535324	177.4447832479753	-81.55038870635491	9.254539203224713	10.288041337661408	8.559503292129634	5.19011495370992
ARG	-150	150	7	196	0.03571428571428571	-73.46119069509125	-179.3377244803145	-70.9755519555615	-165.0018337009186	12.288462347669483	9.298829003004142	10.485422060525794	15.26757601003664
ARG	-150	150	5	196	0.025510204081632654	-61.30326280649523	-173.99419038388038	-60.739101605274755	-87.76169600729486	2.828231935567712	14.436005820981626	15.915295733653064	20.27898261921275
ARG	-150	150	16	196	0.08163265306122448	-67.36154065436357	-71.17155241572517	-174.8991955094253	-82.25270239187468	4.977130348889975	4.598255971390178	2.218006282706101	5.57611229764012
ARG	-150	150	9	196	0.04591836734693878	-22.95009589056437	-10.166750961680721	-9.40145059546827	-10.178356144224017	30.79468167401806	27.6484961334124	22.628757837773076	28.00916084522011
ARG	-120	-180	5	32	0.15625	-50.66569203145391	-177.92815080357798	-78.70712400218989	159.98795837189633	8.042074570526989	13.452556829050748	3.4284937341278754	9.06552335916257
ARG	-120	-30	5	32	0.15625	-50.13639268641637	-43.71504067356811	-39.59957572509786	-20.042238456165837	30.77014261583009	29.38613933813728	27.549853803354708	39.13010455004187
ARG	-120	0	7	69	0.10144927536231885	-63.49644606651551	175.70731194390174	57.95574234892437	87.33214684221916	3.68911756084118	5.526109760629483	6.280992955651467	6.131879776487138
ARG	-120	0	5	69	0.07246376811594203	-68.08987732340125	177.46357211979577	72.0328630061744	-170.84532141129853	6.678832693928936	18.39246862253134	13.703680414506955	8.201025540357671
ARG	-120	0	5	69	0.07246376811594203	-63.10818192829892	179.50555513879456	179.72878518605762	79.82640500959387	5.228875711738383	6.52862703521876	11.350092034203055	9.65519379223899
ARG	-120	0	10	69	0.14492753623188406	-62.683451471078776	176.736086471391	170.96284431218336	168.7186592524568	4.948919277376992	9.683213619158678	6.589178664661846	8.645717924701401
