AA,PHI,PSI,_COUNT,COUNT,PROB,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,-150,-180,13,40,0.325,69.73470229341633,-175.48864031170186,175.6006396097752,-175.93124279005292,7.265697387007784,13.454226723540394,6.0713239890677535,11.158004083110438
ARG,-150,-180,6,40,0.15,61.10772631945529,-178.59450182836815,-171.7991163361368,-87.15934747831996,3.835227788346536,6.4754294370624,6.573962115365936,2.6142227226191164
ARG,-150,120,5,37,0.13513513513513514,-176.3605320925223,172.00504346510672,171.19354857404974,-175.9814329946974,8.388423595722006,13.017317781035205,7.203385197335379,7.09248070400958
ARG,-150,120,5,37,0.13513513513513514,-173.20594981049857,-172.3784204114294,-55.63760386893653,-89.7858709022611,4.0351480273874545,9.189004670886892,9.045605968161013,8.820191597646739
ARG,-150,150,6,152,0.039473684210526314,62.18226779885014,177.64196807709874,62.01909963571163,87.2167178775419,5.599572717974172,18.723835890339647,10.018954880372371,16.94935708841068
ARG,-150,150,5,152,0.03289473684210526,66.32475804250336,169.1959711581106,67.5547410729215,-174.78232567387946,9.068875304884601,22.12387266864934,12.245028655776585,31.774468843015864
ARG,-150,150,10,152,0.06578947368421052,59.95033621365243,171.00480999895132,178.88765949687865,89.68487200443174,7.658566625487358,10.180394108896852,8.906981936386071,7.019940381027497
ARG,-150,150,7,152,0.046052631578947366,64.4637511181157,176.61777353826247,177.67464614478584,-177.85628484642197,3.9407380452272225,7.770041265191445,5.0811281316287245,8.694257350071123
ARG,-150,150,7,152,0.046052631578947366,61.89938550829164,-177.09972196791674,178.95772685878651,-86.07129672329066,5.836212335215992,13.663225374704792,6.518551218887244,10.791188580307637
ARG,-150,150,8,152,0.05263157894736842,65.8418271158451,-173.43654045386484,-75.29414785875102,-166.91316298003622,7.287464684645871,8.721502910130331,15.315294162566897,17.618848056112856
ARG,-150,150,7,152,0.046052631578947366,-175.64673276416295,174.79548598343047,62.63743512981422,-176.55452107474468,8.439022184369835,5.7831833298148005,12.62665281525038,12.499948615355356
ARG,-150,150,7,152,0.046052631578947366,-176.69540854066875,175.7007351454844,-177.86471542182449,-174.55942511288808,10.776667057379331,16.137926550355978,14.326342043162663,10.398175250655248
ARG,-150,150,5,152,0.03289473684210526,-63.79897667172452,-178.49870556371854,62.131085295365025,170.10636375528745,9.398361768374135,15.077896855575705,18.070393772476873,30.252403303663776
ARG,-150,150,5,152,0.03289473684210526,-66.35677211958773,169.76791076368332,179.13689506359216,78.50617985887114,5.008659803616035,4.841592109172773,15.0431307015799,15.436923071483802
ARG,-150,150,10,152,0.06578947368421052,-63.22780213011351,-174.2864980428875,-174.42967458636963,-173.17807444378485,11.905270803933144,11.99335757696219,9.981260516029886,17.82730721661446
ARG,-150,150,7,152,0.046052631578947366,-73.03880678818757,-178.78816525799894,-62.013463889000036,-176.03131809958887,9.292668828108404,7.642764667118521,7.484187639181006,13.390147333310255
ARG,-150,150,15,152,0.09868421052631579,-67.08303373781933,-71.52678063219307,-176.09166117232436,-84.53397941019576,5.572004264207636,4.357902198028998,4.049075809430408,8.351780031590605
ARG,-150,150,14,152,0.09210526315789473,-36.96631352727886,-38.09999931966017,-17.235709425928285,-25.690240506592463,27.90490980555775,38.29723631756412,24.31540178603827,41.38801314876239
ARG,-120,-180,5,27,0.18518518518518517,-57.82968655295959,167.91769147902855,71.08853191886054,-174.35686724539312,12.453953671150417,19.840042493925534,9.130445492888294,13.542942398545923
ARG,-120,-180,5,27,0.18518518518518517,-1.5834094938191523,-1.4845922272528613,-1.5762192002853928,-1.5800147224466574,11.345436965429764,13.039106922023413,10.804082828404155,11.678436813495079
ARG,-120,-30,5,29,0.1724137931034483,-66.51025595133022,-57.05733985030341,178.70958522247514,-167.76807936913153,4.66153296793727,3.421262194427616,19.437886949636685,32.14246088036936
ARG,-120,0,5,48,0.10416666666666667,-58.037862588102776,-179.71488357836236,63.48231467546261,78.8678981632507,3.068474404933744,3.3825113042579864,6.0460854168036535,2.490352689273857
ARG,-120,0,5,48,0.10416666666666667,-57.20942134523229,-158.22386741034737,63.53553248367141,-160.99012364182184,4.259528857379712,12.561956603596661,3.2545376608805476,22.517605114734135
ARG,-120,0,10,48,0.20833333333333334,-60.45733550455896,176.19253836407,-178.49433482190824,177.87540194912987,3.724582886076454,7.099325869626813,9.246050691919148,7.377188935952341
ARG,-120,0,5,48,0.10416666666666667,-62.67496717906374,-174.7954438952892,-59.14794846107299,-87.82477277166792,6.883895685081264,10.892573229727253,5.5282243441271985,11.132764180432861
ARG,-120,30,5,42,0.11904761904761904,-70.5126954970279,166.21590896294464,45.66729609713572,-147.84629980248593,7.042906165106099,7.169436529733867,14.929727456431573,15.363717892294908
ARG,-120,30,5,42,0.11904761904761904,-54.61724136840733,-161.73350292253974,-75.06504291495781,168.6006830765619,14.37810343205105,10.415540971419375,9.832221245745103,33.114254949176456
ARG,-120,60,7,17,0.4117647058823529,-59.87369459299399,-54.02693452354586,-50.943308297654475,-71.17938975898083,20.58822882997084,19.16882304425818,17.92824029439392,24.563723946314436
ARG,-120,120,9,159,0.05660377358490566,179.1290978486079,171.23286288587508,62.31885190840429,79.9851287945763,6.249471805493728,7.746021218163368,5.314875736443745,10.505950814963185
ARG,-120,120,9,159,0.05660377358490566,-175.89031753605738,164.1927153956751,63.22247345229518,-165.1652271007919,6.940186500242939,12.97820637975707,12.021987370836587,17.624601254731896
ARG,-120,120,5,159,0.031446540880503145,178.3614356308162,178.4277529496695,73.21846499086506,-108.79210285459968,4.685413134839594,7.8209067309768825,7.782840244537433,8.007671756757976
ARG,-120,120,13,159,0.08176100628930817,-179.077037268012,178.5846554602174,-176.39804770154853,166.11284998408945,7.183165792227252,11.286761586243609,11.538087997503816,15.25599435597651
ARG,-120,120,7,159,0.0440251572327044,175.421277292981,175.61690977235983,178.80476980189948,-92.49142387656244,20.62342755288154,9.672984162063926,10.926048955354721,7.9041567534696275
ARG,-120,120,8,159,0.050314465408805034,-179.68139117136738,-179.11941378999066,-81.50238496295052,107.2419029558821,4.382570488747563,7.135082352953599,16.24564493253665,4.848015307241178
ARG,-120,120,8,159,0.050314465408805034,-179.10637918081983,-177.57423168234916,-68.71645359811819,168.89693846311067,6.538255495909607,7.261637958100449,3.7844875102166187,15.928352829040605
ARG,-120,120,11,159,0.06918238993710692,-175.0476876385096,177.69915306020224,-69.7607642085908,-84.06205673184306,9.682340915106819,8.236930942137185,8.494115081276831,6.335905247271215
ARG,-120,120,6,159,0.03773584905660377,-65.12253610818466,175.501689414022,73.1162532472352,89.1703927887623,6.028407818389246,10.039967558514308,15.040714659119386,5.582500859567484
ARG,-120,120,9,159,0.05660377358490566,-69.22765798350143,174.2849528608166,66.48879319065188,-174.40253097388697,6.3745513959756686,12.422090651546807,8.772808048048631,14.367766048702816
ARG,-120,120,14,159,0.0880503144654088,-66.42668236791813,-176.28859656926159,179.70424638752667,177.34239346349426,5.378505036711918,9.980648904951911,7.682450531807998,10.95993803862994
ARG,-120,120,5,159,0.031446540880503145,-65.30958661510024,176.30778136402733,-176.24651990923968,-92.74538375213889,7.081380713963167,11.739851424412935,6.866380192012246,5.039913654034049
ARG,-120,120,7,159,0.0440251572327044,-66.62226159564489,-70.7220418310424,-176.98390618688765,-84.99332179550838,2.6094737637841443,8.747803618418052,3.196842765549117,5.1310978236021585
ARG,-120,120,10,159,0.06289308176100629,-6.736011141677385,-7.016101797373826,-7.072688588107629,-6.912744257746099,19.678607106083813,22.98918288658568,22.81765425492871,26.291546425726935
ARG,-120,150,6,161,0.037267080745341616,-175.9054326324378,179.84707898557065,-70.66477613712581,161.71882461946447,11.292852959410968,9.73384135627639,19.53134066098222,19.005565931620158
ARG,-120,150,5,161,0.031055900621118012,-178.57637291279616,-179.36266467791302,-60.829855428961785,-81.00207035017087,5.9068080193503905,4.5004883197277135,4.01662047210515,4.537392452662373
ARG,-120,150,6,161,0.037267080745341616,-63.90779813643711,-179.8860621077039,62.39055872466128,77.24381594066756,9.38643177762353,7.358766478856676,8.773225231821444,7.682305685422556
ARG,-120,150,11,161,0.06832298136645963,-64.98440658704821,179.9984607111022,177.05603472625725,88.86742795506181,6.697161405652211,12.29982309556122,10.228673165190678,6.5193596685667865
ARG,-120,150,15,161,0.09316770186335403,-64.0633956734034,-175.3995359243496,178.40905066004302,177.56764345631484,9.685681225717742,11.332485186427272,9.457352281334648,11.50052146617691
ARG,-120,150,14,161,0.08695652173913043,-66.16394843564099,171.52100731980326,-178.18984477353195,-93.81849118089372,8.77536466611776,15.510171544097588,7.860242237684937,11.041197559780123
ARG,-120,150,16,161,0.09937888198757763,-63.00230902938441,-162.8853809301827,-62.350478830375266,162.39965937577324,8.889948473710412,15.340149453255092,12.203935924679836,14.920895368067859
ARG,-120,150,5,161,0.031055900621118012,-50.79186899433165,-68.02212699573215,176.10889951092315,82.23314261462929,9.543814097934712,4.893221464479227,4.06854172478114,7.560892983117022
ARG,-120,150,7,161,0.043478260869565216,-49.14021264509662,-74.44645761621639,-176.39944212971284,-177.5144386179372,9.207854297058766,13.577877737875996,10.494850832557363,11.867601747538172
ARG,-120,150,11,161,0.06832298136645963,-62.69187910941066,-69.35445779729724,177.53929689469751,-86.75839371775852,5.755078819019016,5.518119938092658,2.7668611180507736,5.8845194702873345
ARG,-120,150,9,161,0.055900621118012424,-2.3347477786461215,-2.3700559805336487,-2.4793486292924256,-2.622752720245563,11.237164477710099,12.911251539231962,16.62278973878332,16.668862314786484
ARG,-90,-180,5,30,0.16666666666666666,-62.87755359230082,171.31677350911784,74.37838324455726,178.94928849905475,9.286118335904638,13.852336484972016,8.88519403627833,13.458504622915616
ARG,-90,-180,7,30,0.23333333333333334,-0.36647317654039935,0.0,0.0,0.0,5.493311557482906,0.0,0.0,0.0
ARG,-90,-30,6,161,0.037267080745341616,-179.5926091317245,178.0823343055467,175.68356768761694,-173.278701320648,9.015630389669724,3.2084957644762166,8.014036084268563,5.661671077635959
ARG,-90,-30,5,161,0.031055900621118012,-159.4579593848398,-175.80141656208255,-87.22537494152898,98.75940988576397,22.75541982459907,4.914728170347024,11.622559425444102,18.531297052721992
ARG,-90,-30,10,161,0.062111801242236024,-74.53579761132343,169.27428787788165,76.35178087591002,-171.93441040830092,8.778098133589815,12.87630878282668,10.43537312779259,17.172705249123652
ARG,-90,-30,6,161,0.037267080745341616,-65.47596668749794,-179.45595829709114,66.7885523098808,-113.84398593013893,4.981321129118522,8.720156814080136,8.891508081322469,2.558171196637396
ARG,-90,-30,10,161,0.062111801242236024,-62.83834320927145,-171.83371724116205,175.08463163564275,83.08163877252353,4.7857483797374645,6.018341797844656,15.614883282372626,14.493182372227214
ARG,-90,-30,16,161,0.09937888198757763,-68.82490897606405,-177.09348302852223,179.19197843521533,-177.26696848925874,7.834487502815677,7.633012926208507,7.909999990016116,11.671022728291836
ARG,-90,-30,6,161,0.037267080745341616,-62.16127460976638,-169.57278754275168,-168.03694540727298,-84.72692911781006,7.202254603037187,9.201931567075311,18.303066993708153,9.770207830286306
ARG,-90,-30,13,161,0.08074534161490683,-63.863470577022404,-177.16930216088792,-62.18214996579833,175.76556372223007,5.2444895908733375,12.707777443818665,11.573786023767484,11.747559325322861
ARG,-90,-30,5,161,0.031055900621118012,-65.91815021619342,-60.004846890911324,171.9310908717692,85.34737702509,1.1441060810143788,5.393367647025993,8.993393727685271,3.4971004660411316
ARG,-90,-30,6,161,0.037267080745341616,-56.852222504242135,-55.256198937825395,-55.71614229968394,166.54064758329758,3.9414776744260993,13.320187073583902,9.591856474053365,3.1479141165865316
ARG,-90,-30,13,161,0.08074534161490683,-0.008427239234344288,-0.008539276161063272,-0.008500722249105745,-0.007748697650749998,0.7569075313102515,0.8702443788295938,0.7832240514382663,1.0085261698806984
ARG,-90,0,16,137,0.11678832116788321,-67.19779486671365,179.8175610098248,70.94789700149343,-175.58769814834946,9.628424881951261,11.545333795111885,11.35404159107324,20.220049435868304
ARG,-90,0,11,137,0.08029197080291971,-69.51259197238635,174.78515928437062,178.050221684315,76.39390980750633,3.606984521380589,11.619085478954027,12.124409732794678,11.50507884780361
ARG,-90,0,21,137,0.15328467153284672,-66.04919426722715,176.55330121423773,-176.55854778088042,174.68443097164658,5.367954103743406,9.260340514710514,8.720394957597662,11.043399150820123
ARG,-90,0,6,137,0.043795620437956206,-71.28624926247399,174.42786821376146,-179.80771826118698,-79.55678614882665,8.855168576979775,3.196685631457923,15.935630713721148,14.826703680822062
ARG,-90,0,7,137,0.051094890510948905,-64.38864367389219,-178.17776202877207,-74.58159840279849,94.96936726764329,7.767499187995489,6.917861611840046,5.057376044067383,4.459503421704
ARG,-90,0,7,137,0.051094890510948905,-56.44474864915611,166.03448572692912,-55.3976875765044,-178.31443348688535,8.302937430163226,10.321731871876203,14.341510231409066,21.234703737751925
ARG,-90,0,7,137,0.051094890510948905,-64.17979015030487,-174.75114317505577,-68.20478191417905,-88.43241815901224,7.624507741422833,13.258952639150246,12.108987123855716,11.68680295539036
ARG,-90,0,6,137,0.043795620437956206,-59.186789372318195,-59.26547865485697,175.97188690598043,87.19867073262785,9.262993961223746,4.723814575804941,6.867681913540207,7.999910731972219
ARG,-90,0,9,137,0.06569343065693431,-61.08078404801374,-69.20604919887822,-177.93403132586343,-179.4409863159944,5.9195669947819995,8.667321852946928,11.191936407279211,7.565735936290708
ARG,-90,0,7,137,0.051094890510948905,-55.72097312836504,-68.69270788049145,-66.52026698005157,172.3729364607853,15.491782514251607,12.625648102099207,11.94344858518641,9.345314452531507
ARG,-90,0,7,137,0.051094890510948905,-35.26803491017321,-47.83065598678164,-29.917791424788735,-59.9053527352843,27.930255007784798,36.44948056127752,23.657081405726483,41.35211811776829
ARG,-90,30,6,22,0.2727272727272727,-69.31586937693223,171.44296214620164,-178.33814289666665,172.93065182410288,5.822524236518535,10.412594474516691,16.031896212779024,14.862430377583523
ARG,-90,120,5,149,0.03355704697986577,174.8820483460849,77.01084742380588,70.05189161350377,176.24111820689896,6.304970386000994,7.46170923657027,10.504716219039397,14.258544725064374
ARG,-90,120,5,149,0.03355704697986577,178.1294956042216,71.40713594655533,165.28402694684556,86.89796901365388,6.297856035922593,8.990759339771206,8.284677343115572,13.492136914988842
ARG,-90,120,7,149,0.04697986577181208,-176.83124524272066,-177.25600794245912,71.37059791402848,82.22967936548942,8.558776946036915,6.4768292699292935,6.981971329496319,12.345907472791401
ARG,-90,120,5,149,0.03355704697986577,-174.23251384096073,154.1529168434032,66.42203380416942,-167.15065589996553,7.526661614205851,12.981803360837347,7.352199529613791,12.3523087110686
ARG,-90,120,5,149,0.03355704697986577,-170.44044815498452,155.2516403337399,164.15858472609074,77.66565934623769,10.243701651414339,9.432744185076592,18.575991207821616,15.282333517526094
ARG,-90,120,14,149,0.09395973154362416,-178.97946961119445,179.14791411390618,-179.30739039433573,-176.57915384859206,6.350986860546834,10.90346708571218,7.987018418219196,12.571295712088686
ARG,-90,120,9,149,0.06040268456375839,-179.9547899972988,173.852419060237,-175.45099822141958,-86.95979078535196,10.017672047431125,13.774874286357889,10.715460088707708,7.202684111126303
ARG,-90,120,10,149,0.06711409395973154,178.45361670425152,175.8132475073096,-58.556253560028686,172.03381215008906,8.259992887365755,14.879926581855397,9.73020540905188,15.476100826863682
ARG,-90,120,7,149,0.04697986577181208,-55.071107090847285,-179.54342559125425,-175.87267664275245,87.89656006287782,9.938110728742522,9.338724009948189,12.027496530483308,5.94535542321774
ARG,-90,120,12,149,0.08053691275167785,-68.74465713904534,-173.81856132476977,169.2151704911185,179.60069335903597,5.151903340792446,11.430331320651558,7.344867804857402,12.304169644416358
ARG,-90,120,8,149,0.053691275167785234,-68.1999702129455,-173.44802210964704,-177.6477307143375,-99.50933284507117,9.262284995248422,15.269811759069263,10.474773827042705,10.313012856874122
ARG,-90,120,10,149,0.06711409395973154,-68.15166613382492,179.42108286390126,-66.77458977791748,173.92735554642618,6.077763239506248,8.811076147034372,8.00658952564609,9.149720568360719
ARG,-90,120,7,149,0.04697986577181208,-61.33156056346067,-171.70717130279087,-72.22961345142376,-93.17408615675981,6.388456632747567,6.726589508835552,13.156172499449461,13.218853625055477
ARG,-90,120,7,149,0.04697986577181208,-0.3631483156398219,-0.3625223883038412,-0.3664823291423914,-0.34676197856646424,5.0959402615385985,5.851263610777961,5.469903281374432,6.263400775203369
ARG,-90,150,6,126,0.047619047619047616,-57.627234713608324,172.032355079982,67.72482226932004,79.38496531924753,11.094858446062126,11.108969591878418,7.761115624396925,15.490313604441344
ARG,-90,150,5,126,0.03968253968253968,-71.40889436219065,-179.3353498798366,63.60157190690656,-175.51621874785087,10.238269617396003,15.798015442947245,11.82937206304463,2.643880467799041
ARG,-90,150,10,126,0.07936507936507936,-61.07834326223837,-172.38921324297937,175.228391511823,85.57402616447105,8.362985157509499,9.596618115524892,8.797629893738222,12.555042948617494
ARG,-90,150,14,126,0.1111111111111111,-63.79853712162995,-179.0973314073699,-179.25431527472563,171.15860018455737,4.5154484120589835,10.698013620419655,6.9596080301263585,11.193531364452662
ARG,-90,150,5,126,0.03968253968253968,-62.91269507892457,176.5761233949889,-177.98944382173926,-81.75356872127156,9.284434828030454,4.526710805607701,10.03428619407716,12.286396418955999
ARG,-90,150,23,126,0.18253968253968253,-68.9111962425335,-177.34816073561498,-66.16912080027132,-174.57085061326543,6.383794460761799,14.311378714699142,9.835228543763026,12.653585043590923
ARG,-90,150,8,126,0.06349206349206349,-59.92623592724025,-67.70671062370535,178.8882933604212,-178.7112427412581,4.387992371865778,6.863833229522856,7.462400861397066,6.413075699915014
ARG,-90,150,6,126,0.047619047619047616,-25.023296450506766,-31.135070133655788,-9.96344891543641,-10.221667388666534,25.19059908713191,33.293887636193816,25.587727380528445,29.081646752686616
ARG,-60,-60,8,442,0.01809954751131222,169.44823360374372,85.98733244644936,76.92226905707156,165.20448446015527,14.332307106007782,16.267162137299263,14.130287772774565,23.740580005002702
ARG,-60,-60,12,442,0.027149321266968326,-178.93340051280614,61.145142701966854,175.19568784184492,172.40992215714155,5.4393100038145725,7.99867584135652,8.538060356180914,7.756960261165931
ARG,-60,-60,40,442,0.09049773755656108,-179.36953648785098,177.43058482882648,66.23450571271837,78.47087356602611,10.41216564251083,15.440998062652858,14.643214646279988,11.634220959891422
ARG,-60,-60,31,442,0.07013574660633484,-179.44112549355543,-178.54555084045452,68.10389573653165,-163.5713630824108,9.347030708038771,15.638991224935973,8.818013201491356,16.52349105266615
ARG,-60,-60,16,442,0.03619909502262444,-174.9866579526266,-179.28111612915228,65.77107535766045,-104.29477283920237,8.928455490747405,11.88566851077886,13.566434420189642,11.697961732586615
ARG,-60,-60,25,442,0.05656108597285068,-176.4831275629421,178.16787807891723,170.5659366211511,80.65576474430466,8.874169958926165,11.738260337241837,8.653161187576412,15.158507373615494
ARG,-60,-60,30,442,0.06787330316742081,-177.35116337333017,178.4659268254144,-177.21990981416917,-179.93948534149447,9.19481142478504,10.17401114608567,13.33710344800879,13.321135035104913
ARG,-60,-60,24,442,0.05429864253393665,-175.4197217995704,174.149170404395,179.20924597131474,-85.34703960329674,6.017203384028165,7.499068767070045,9.32309584596081,9.494373124119432
ARG,-60,-60,24,442,0.05429864253393665,-174.5195655704247,175.35124245131283,-65.2093894741258,105.83993602558395,8.312825625339189,9.607831225779956,10.352237938242379,7.355770416418765
ARG,-60,-60,21,442,0.04751131221719457,-175.22930985865125,-179.9940023109355,-58.70432204340399,163.91806644707594,13.655956444412087,13.909715490395977,10.547351752294752,14.39458957975439
ARG,-60,-60,16,442,0.03619909502262444,-173.69902299044304,-177.23396343369225,-60.35689017994218,-72.2650073197831,13.008448145094288,9.386303697189929,12.659019898236695,8.225964881103984
ARG,-60,-60,6,442,0.013574660633484163,-170.41178348548445,-86.90485603325588,163.56750816890957,-171.64602512388038,17.613907408459,17.314708357069343,15.250489953869941,14.2139717266455
ARG,-60,-60,9,442,0.020361990950226245,-64.76149528944906,172.5794507301202,65.78248532876079,89.2687189582581,11.197419979060117,9.142576424825398,11.060135694631501,11.694309596901503
ARG,-60,-60,13,442,0.029411764705882353,-80.85290448858915,178.8370785383447,66.24955670134847,-165.57558501846142,10.499934006758677,11.374061256652793,10.19601996298663,13.811973079296106
ARG,-60,-60,15,442,0.033936651583710405,-70.53992857479692,-159.80877387448993,-174.62883457866945,87.05342270440603,7.846493761954271,8.676361491750884,8.447811996714378,10.22957996436624
ARG,-60,-60,33,442,0.0746606334841629,-73.17613125617001,176.68314264547496,-176.39084227507854,179.2222956735379,8.097071670063936,10.601962728009326,8.592384969040552,10.782362117918376
ARG,-60,-60,10,442,0.02262443438914027,-77.24865947842201,176.80986323032062,-179.44838650016658,-82.32238297088121,5.444733862040767,17.00842471414272,22.804626585160243,16.774773158640254
ARG,-60,-60,10,442,0.02262443438914027,-70.90025787381487,-175.67131609336764,-77.78767298168381,-179.25947568316477,11.593969281499053,10.867110649533492,16.09445369891712,18.50432915893364
ARG,-60,-60,18,442,0.04072398190045249,-70.5958644769301,-165.33599472613315,-62.72316174571691,-86.58370492076527,7.42510613369923,5.116160642296093,8.13531201075817,10.463876887210994
ARG,-60,-60,5,442,0.011312217194570135,-109.39954047018838,-101.30013682137287,74.99131712951275,-177.30199518274333,8.237378472779648,11.857436666228354,15.153054656040007,16.298715007062594
ARG,-60,-60,6,442,0.013574660633484163,-59.13627894816157,-58.505060460327236,-168.0864702853818,-172.05756553717464,11.489373720089677,2.2857511649486915,9.454917267302612,7.314230206884543
ARG,-60,-60,32,442,0.07239819004524888,-0.04399347552816897,-0.05284250285574013,-0.06723334767284618,-0.05154634385420078,2.0425440768009695,2.1050814175830697,1.824775017119136,2.2823514234259243
ARG,-60,-30,6,1173,0.005115089514066497,72.14343528296935,174.88727327831683,65.73581315613608,87.41782350534761,21.776341625130357,10.403584235257716,9.208665022245839,10.738337377882232
ARG,-60,-30,6,1173,0.005115089514066497,71.89687360153991,175.3930820962614,65.70040414494262,-178.01799003476273,8.817760181558633,17.084920252033005,6.3606899369663275,6.453476371332268
ARG,-60,-30,15,1173,0.01278772378516624,65.76673672881158,-179.57086414670704,177.83084903222846,83.96214566848566,7.58994788204548,8.862874230119333,13.036322318650178,4.69807852056866
