AA,PHI,PSI,_Count,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,-180,-180,2,9,0.22222222,63.41,169.91,167.44,93.84,2.15,9.09,0.56,16.28
ARG,-180,-180,2,9,0.22222222,68.85,174.42,176.56,-179.26,19.2,42.81,9.22,32.95
ARG,-180,-180,2,9,0.22222222,66.75,-174.99,176.31,-91.2,10.62,6.52,9.95,21.04
ARG,-180,-180,2,9,0.22222222,72.86,174.3,-84.01,166.31,12.12,10.54,16.54,10.61
ARG,-180,120,2,4,0.5,-170.4,173.67,177.64,-172.81,4.45,10.71,0.26,9.71
ARG,-180,150,2,11,0.18181818,67.71,149.86,-167.31,168.66,0.02,0.01,0.0,0.03
ARG,-180,150,2,11,0.18181818,60.98,172.23,-175.98,-66.24,12.31,9.74,0.92,3.57
ARG,-180,150,2,11,0.18181818,76.67,-167.7,-74.72,-172.83,1.11,4.98,1.63,5.76
ARG,-150,-180,2,46,0.04347826,56.28,84.8,173.73,174.67,5.55,23.94,18.65,4.22
ARG,-150,-180,3,46,0.06521739,74.18,-157.68,70.22,176.0,4.29,6.93,1.53,5.38
ARG,-150,-180,3,46,0.06521739,67.34,-175.27,-179.74,83.38,1.24,7.74,6.5,3.93
ARG,-150,-180,12,46,0.26086957,68.79,-174.19,174.98,-177.94,7.6,13.98,6.37,10.35
ARG,-150,-180,8,46,0.17391304,60.97,-175.79,-173.19,-84.48,2.55,6.74,5.05,5.04
ARG,-150,-180,2,46,0.04347826,-165.48,-174.58,63.35,150.14,0.0,0.0,0.0,0.0
ARG,-150,-180,4,46,0.08695652,-48.47,-179.53,-179.9,179.45,14.84,17.47,9.16,5.27
ARG,-150,-180,2,46,0.04347826,-62.98,-173.92,-178.61,-72.68,5.43,5.39,0.43,2.96
ARG,-150,-60,2,3,0.66666667,160.29,159.39,-106.93,-101.61,0.19,0.45,0.6,1.65
ARG,-150,30,3,12,0.25,-75.44,-163.03,44.79,171.13,6.84,4.78,5.49,11.12
ARG,-150,30,3,12,0.25,-47.1,-177.0,164.46,-179.43,0.86,6.68,12.12,0.86
ARG,-150,30,2,12,0.16666667,-63.39,-65.04,-174.11,-81.54,1.03,1.21,0.98,3.24
ARG,-150,60,2,7,0.28571429,-152.9,168.45,64.01,131.86,0.22,7.44,6.71,6.53
ARG,-150,90,2,15,0.13333333,-74.7,-174.08,-171.09,170.77,15.53,10.14,17.31,8.07
ARG,-150,120,4,41,0.09756098,-173.57,174.19,63.08,-170.97,4.34,17.63,9.02,15.78
ARG,-150,120,2,41,0.04878049,177.77,-179.33,-173.92,76.13,0.88,0.11,10.2,7.48
ARG,-150,120,6,41,0.14634146,-170.79,162.72,174.36,-175.25,11.87,19.48,17.85,10.19
ARG,-150,120,3,41,0.07317073,-172.72,167.03,-59.69,162.07,8.16,14.7,3.53,13.29
ARG,-150,120,8,41,0.19512195,-173.71,-171.36,-55.7,-91.18,4.81,6.77,10.34,6.55
ARG,-150,120,2,41,0.04878049,-172.65,-94.06,-162.42,100.09,1.42,12.87,16.8,19.88
ARG,-150,120,2,41,0.04878049,-62.08,-158.57,172.5,93.7,2.87,1.19,2.72,6.15
ARG,-150,120,2,41,0.04878049,-75.38,174.02,-174.66,-159.74,6.78,3.64,18.5,7.36
ARG,-150,120,2,41,0.04878049,-85.33,-80.37,175.54,-78.13,15.3,13.07,4.04,2.48
ARG,-150,150,3,167,0.01796407,61.12,92.78,177.47,172.79,2.6,0.42,0.24,1.12
ARG,-150,150,7,167,0.04191617,63.74,-179.85,66.84,91.92,5.93,15.77,15.66,16.5
ARG,-150,150,4,167,0.0239521,69.97,162.41,72.85,-173.0,7.82,25.83,13.0,39.37
ARG,-150,150,3,167,0.01796407,67.09,173.37,66.93,-117.92,2.96,8.37,7.21,1.82
ARG,-150,150,13,167,0.07784431,59.43,169.34,178.77,90.36,7.66,8.52,8.68,5.59
ARG,-150,150,8,167,0.04790419,63.81,176.32,179.14,-175.87,5.54,6.71,6.35,10.76
ARG,-150,150,6,167,0.03592814,63.76,-176.58,179.89,-89.4,4.91,15.9,7.36,9.62
ARG,-150,150,9,167,0.05389222,64.4,-171.43,-76.8,-163.0,7.31,9.14,13.96,17.45
ARG,-150,150,2,167,0.01197605,64.27,173.91,-64.83,-82.45,1.36,0.01,3.54,5.38
ARG,-150,150,2,167,0.01197605,80.1,-80.95,172.54,-78.67,27.35,3.13,6.17,4.4
ARG,-150,150,8,167,0.04790419,-173.45,175.01,64.2,-177.4,8.78,5.0,11.45,11.18
ARG,-150,150,2,167,0.01197605,177.58,174.15,63.77,-93.75,16.26,10.02,11.92,11.68
ARG,-150,150,3,167,0.01796407,167.97,171.29,172.09,76.19,4.06,6.76,2.75,7.92
ARG,-150,150,8,167,0.04790419,-175.21,172.72,-174.76,-177.38,9.86,14.74,13.23,11.01
ARG,-150,150,3,167,0.01796407,173.47,-178.73,-179.85,-85.76,1.4,4.46,6.86,15.05
ARG,-150,150,4,167,0.0239521,-166.04,-175.22,-69.33,-88.32,8.45,3.54,9.2,10.44
ARG,-150,150,6,167,0.03592814,-69.04,-178.51,65.37,94.09,6.3,2.72,10.17,3.31
ARG,-150,150,6,167,0.03592814,-61.01,-172.73,65.75,170.23,8.93,17.01,15.46,25.32
ARG,-150,150,5,167,0.02994012,-66.36,169.77,179.14,78.51,5.01,4.84,15.04,15.44
ARG,-150,150,11,167,0.06586826,-64.99,-175.01,-174.12,-176.77,11.47,11.0,8.96,18.54
ARG,-150,150,4,167,0.0239521,-81.38,162.21,-165.33,-69.52,9.16,14.11,11.11,14.42
ARG,-150,150,6,167,0.03592814,-75.23,-176.47,-63.97,-172.52,10.23,7.23,7.75,10.91
ARG,-150,150,2,167,0.01197605,-64.21,-69.23,-179.7,85.25,5.16,2.78,2.93,2.46
ARG,-150,150,2,167,0.01197605,-74.54,-68.09,171.53,147.37,0.05,10.93,19.81,21.84
ARG,-150,150,16,167,0.09580838,-66.48,-71.56,-175.65,-83.57,5.65,4.09,4.08,8.44
ARG,-150,150,6,167,0.03592814,-56.16,-77.61,-52.18,-87.5,7.11,3.56,5.41,4.77
ARG,-120,-180,7,33,0.21212121,-56.92,170.89,71.26,-173.26,14.44,16.13,6.07,12.52
ARG,-120,-180,2,33,0.06060606,-53.82,171.34,-179.29,170.46,8.78,9.41,2.16,4.94
ARG,-120,-180,2,33,0.06060606,-63.93,-178.91,-47.02,88.25,0.3,1.28,10.76,20.07
