AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,1,0.0012,81.3,113.1,77.4,-178.5,0.0,0.0,0.0,0.0
ARG,1,0.0012,29.8,80.5,152.6,98.7,0.0,0.0,0.0,0.0
ARG,9,0.0108,71.5,179.6,58.1,90.5,12.17,9.09,14.27,5.0
ARG,10,0.012,64.5,176.0,63.4,176.9,19.45,17.09,15.17,7.41
ARG,4,0.0048,61.8,-171.4,75.8,-101.9,9.95,7.67,13.14,5.0
ARG,14,0.0169,63.3,175.6,170.4,89.7,7.65,8.29,10.77,11.97
ARG,8,0.0096,63.3,173.7,178.3,179.4,6.67,5.39,7.16,10.1
ARG,14,0.0169,62.8,-177.5,-179.7,-86.7,5.49,6.0,12.39,6.56
ARG,1,0.0012,70.6,-178.2,-39.4,118.5,0.0,0.0,0.0,0.0
ARG,12,0.0145,51.5,176.2,-63.9,-177.3,7.43,11.11,11.99,22.49
ARG,2,0.0024,58.6,-176.4,-78.7,-93.7,11.91,6.84,27.0,5.68
ARG,2,0.0024,43.7,-81.3,-146.5,73.5,5.25,15.84,14.67,9.01
ARG,1,0.0012,82.2,-107.9,157.6,179.7,0.0,0.0,0.0,0.0
ARG,1,0.0012,10.0,-80.2,-172.2,-86.1,0.0,0.0,0.0,0.0
ARG,1,0.0012,85.9,-66.9,-36.9,130.4,0.0,0.0,0.0,0.0
ARG,7,0.0084,-171.1,62.8,66.1,82.4,13.13,8.0,9.95,11.03
ARG,7,0.0084,-173.1,81.9,70.5,176.0,16.23,5.54,11.11,10.74
ARG,1,0.0012,-158.5,59.7,66.6,-110.6,0.0,0.0,0.0,0.0
ARG,5,0.006,178.0,69.5,167.9,96.3,9.63,9.48,7.94,12.73
ARG,11,0.0133,178.6,64.4,171.6,-178.2,14.47,6.84,8.18,20.24
ARG,11,0.0133,179.5,80.6,178.9,-85.8,7.32,15.82,16.18,7.2
ARG,7,0.0084,-175.0,74.1,-80.7,165.4,11.75,14.14,20.78,11.57
ARG,2,0.0024,173.1,87.8,-69.8,-98.1,4.81,3.62,30.06,11.57
ARG,28,0.0337,-179.5,174.4,60.7,82.6,9.47,10.12,10.87,12.63
ARG,35,0.0422,-173.8,179.1,63.4,-166.9,11.07,17.3,10.11,20.23
ARG,13,0.0157,-172.9,173.1,71.1,-107.0,5.67,9.61,11.18,8.44
ARG,14,0.0169,-170.1,-177.0,168.6,84.3,14.79,12.99,19.36,11.92
ARG,38,0.0458,-176.4,174.8,-178.1,178.4,10.99,13.81,14.54,13.14
ARG,26,0.0313,-175.0,177.8,-175.2,-88.4,9.57,12.83,13.5,11.57
ARG,15,0.0181,-173.3,177.0,-67.8,106.2,11.44,12.88,10.95,5.32
ARG,42,0.0506,-175.8,-179.8,-68.9,168.6,9.17,14.56,11.24,20.28
ARG,24,0.0289,-175.8,-174.1,-63.5,-83.9,10.63,9.5,11.74,9.32
ARG,4,0.0048,-172.4,-94.2,173.6,162.1,18.72,6.99,14.33,8.7
ARG,1,0.0012,-133.2,-74.8,174.9,-78.9,0.0,0.0,0.0,0.0
ARG,5,0.006,-150.8,-88.2,-58.4,157.6,7.54,7.4,15.36,12.86
ARG,3,0.0036,-179.4,-85.8,-53.7,-72.0,4.12,7.66,4.65,1.82
ARG,1,0.0012,-78.8,66.7,17.4,92.9,0.0,0.0,0.0,0.0
ARG,3,0.0036,-80.7,86.1,63.7,168.5,4.57,12.23,6.19,6.2
ARG,1,0.0012,-12.9,110.0,119.0,-71.8,0.0,0.0,0.0,0.0
ARG,4,0.0048,-90.5,85.3,174.6,74.6,26.42,13.49,17.83,18.86
ARG,3,0.0036,-93.3,65.7,170.8,-159.6,7.83,12.75,20.58,18.91
ARG,2,0.0024,-67.6,89.1,-138.3,-82.1,2.37,20.64,13.66,20.8
