AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,3,0.0036,57.8,97.1,56.1,-178.2,19.85,10.79,8.73,17.21
ARG,5,0.006,69.0,179.2,65.7,95.4,9.52,12.64,8.0,12.94
ARG,9,0.0108,59.6,168.8,68.9,-175.0,8.53,15.49,5.84,12.93
ARG,6,0.0072,62.6,-173.2,79.5,-100.3,13.12,6.55,14.86,14.67
ARG,14,0.0169,58.0,177.2,-175.6,84.8,8.46,9.67,17.54,8.77
ARG,9,0.0108,67.7,175.6,178.8,176.6,10.41,16.38,9.48,11.71
ARG,16,0.0193,64.6,179.0,-168.1,-83.0,7.04,9.35,10.84,7.15
ARG,14,0.0169,71.3,-176.5,-78.4,178.7,9.44,9.53,13.55,16.54
ARG,7,0.0084,61.4,-174.4,-51.6,-82.3,9.43,8.15,9.93,11.9
ARG,2,0.0024,20.1,-59.8,-169.5,99.1,10.12,30.28,34.11,6.85
ARG,2,0.0024,36.9,-92.5,144.2,173.3,4.06,3.72,10.85,21.79
ARG,1,0.0012,55.4,-103.8,-157.7,-104.6,0.0,0.0,0.0,0.0
ARG,1,0.0012,25.3,-112.1,-68.5,-62.6,0.0,0.0,0.0,0.0
ARG,5,0.006,-172.2,58.6,58.5,87.8,6.35,18.55,10.56,10.18
ARG,8,0.0096,169.9,59.2,75.8,176.1,7.8,15.96,13.91,14.8
ARG,10,0.012,176.6,69.2,170.1,92.4,7.75,7.78,9.52,10.52
ARG,11,0.0133,-174.0,70.6,176.0,180.0,15.07,12.14,12.73,10.44
ARG,3,0.0036,-150.5,75.7,168.0,-89.8,12.74,17.49,15.18,8.31
ARG,1,0.0012,-172.5,90.0,-63.2,115.7,0.0,0.0,0.0,0.0
ARG,5,0.006,-164.6,90.1,-68.6,153.0,23.06,19.44,11.11,21.35
ARG,1,0.0012,-171.7,72.0,-92.0,-69.4,0.0,0.0,0.0,0.0
ARG,24,0.0289,178.6,177.9,64.4,81.9,7.92,7.8,10.52,9.61
ARG,27,0.0325,-172.4,174.6,67.4,-166.6,7.84,15.31,7.83,18.28
ARG,13,0.0157,-173.1,176.0,70.8,-99.9,7.93,14.66,17.04,9.68
ARG,22,0.0265,-174.4,174.3,-178.8,77.7,10.76,12.79,17.7,11.85
ARG,37,0.0446,-173.4,174.9,-179.6,178.7,11.44,13.69,9.32,11.6
ARG,31,0.0373,-175.5,177.3,174.7,-91.0,9.52,10.1,16.42,11.12
ARG,14,0.0169,-170.0,178.7,-69.9,105.6,13.27,7.44,16.72,9.38
ARG,31,0.0373,-173.7,175.9,-64.7,173.8,10.3,10.04,11.01,18.35
ARG,25,0.0301,-169.5,-177.8,-64.4,-81.6,12.04,10.6,6.41,8.89
ARG,3,0.0036,-173.3,-83.5,179.8,92.8,10.31,5.91,28.5,18.04
ARG,2,0.0024,-151.6,-68.7,-174.2,-166.4,17.36,0.36,4.65,14.78
ARG,1,0.0012,-153.5,-107.7,-160.0,-81.1,0.0,0.0,0.0,0.0
ARG,2,0.0024,-173.0,-104.9,-87.1,154.7,3.3,11.61,17.59,32.3
ARG,3,0.0036,-175.1,-90.8,-62.1,-54.9,21.66,12.53,13.39,10.75
ARG,1,0.0012,-77.3,94.2,59.5,160.9,0.0,0.0,0.0,0.0
ARG,1,0.0012,-63.3,111.6,162.7,66.4,0.0,0.0,0.0,0.0
ARG,6,0.0072,-95.7,89.0,173.5,-171.9,14.99,13.66,12.36,9.47
ARG,1,0.0012,-76.1,80.3,163.4,-90.6,0.0,0.0,0.0,0.0
ARG,1,0.0012,-31.0,105.8,-114.9,169.1,0.0,0.0,0.0,0.0
ARG,31,0.0373,-65.0,-178.7,64.6,87.0,8.18,8.48,10.48,9.59
ARG,35,0.0422,-70.2,174.1,65.5,-159.4,10.07,14.02,7.32,18.98
ARG,8,0.0096,-74.2,178.6,59.6,-106.3,12.95,12.01,8.38,7.93
ARG,42,0.0506,-66.4,-178.1,-179.4,85.1,8.51,12.94,9.27,10.83
