AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,2,0.0006,51.3,91.8,68.7,80.2,14.08,3.31,11.59,4.19
ARG,3,0.0009,72.4,98.7,82.7,173.0,23.2,25.05,2.34,2.08
ARG,1,0.0003,55.8,100.7,69.2,-119.2,0.0,0.0,0.0,0.0
ARG,7,0.0022,55.2,94.7,173.5,175.0,10.54,12.9,15.1,10.91
ARG,2,0.0006,45.1,81.0,-175.2,-85.9,26.27,16.54,0.86,14.46
ARG,1,0.0003,45.1,93.7,-108.8,-87.8,0.0,0.0,0.0,0.0
ARG,15,0.0047,62.1,176.2,66.0,86.1,13.22,10.81,11.65,11.4
ARG,28,0.0087,69.2,-175.4,61.5,-172.4,9.32,11.78,12.3,11.65
ARG,11,0.0034,67.6,-175.4,74.6,-107.1,9.15,17.76,14.18,8.58
ARG,51,0.0158,66.9,-177.1,178.0,87.1,9.13,9.93,8.68,7.15
ARG,67,0.0208,63.0,-178.6,179.9,-177.9,9.91,11.07,11.74,11.76
ARG,28,0.0087,63.5,-176.0,-175.6,-84.0,3.86,12.01,7.77,8.88
ARG,3,0.0009,70.6,-177.4,-59.2,97.9,6.41,5.14,4.28,6.51
ARG,32,0.0099,63.2,179.2,-62.1,174.8,11.02,13.28,10.73,11.58
ARG,17,0.0053,64.3,-176.9,-61.2,-86.2,9.47,17.43,9.96,6.83
ARG,1,0.0003,97.2,-83.1,100.0,99.6,0.0,0.0,0.0,0.0
ARG,3,0.0009,69.8,-84.3,-170.4,70.4,29.02,4.63,2.91,7.6
ARG,4,0.0012,56.0,-95.7,-174.5,158.2,11.98,4.07,21.86,20.78
ARG,1,0.0003,36.2,-107.1,-154.0,-107.2,0.0,0.0,0.0,0.0
ARG,1,0.0003,77.0,-109.2,-97.1,95.1,0.0,0.0,0.0,0.0
ARG,3,0.0009,65.3,-115.2,-80.0,-171.5,11.99,3.1,5.15,13.49
ARG,3,0.0009,70.6,-93.0,-60.5,-102.2,26.39,18.39,2.2,13.78
ARG,20,0.0062,-175.6,67.4,62.7,83.5,9.08,8.13,13.94,8.16
ARG,32,0.0099,-179.0,76.6,62.8,-175.8,10.98,15.58,9.05,11.25
ARG,2,0.0006,-172.9,77.1,68.8,-109.4,10.01,3.43,5.16,2.81
ARG,43,0.0133,-175.0,69.7,178.3,90.4,11.94,10.58,11.36,11.84
ARG,64,0.0199,-176.1,64.5,179.0,175.2,9.85,8.93,11.9,12.84
ARG,28,0.0087,-176.9,71.4,-174.5,-80.7,9.12,11.75,14.57,14.62
ARG,13,0.004,-175.8,75.3,-82.1,170.9,7.49,10.2,12.43,9.04
ARG,6,0.0019,177.8,78.5,-90.8,-100.4,5.01,3.35,8.71,12.3
ARG,121,0.0375,-177.1,176.3,65.4,82.6,9.14,13.05,9.47,10.63
ARG,125,0.0388,-173.8,177.6,63.5,-166.4,10.92,14.09,9.48,19.07
ARG,53,0.0164,-172.3,176.1,69.3,-106.1,8.22,14.96,13.89,7.23
ARG,92,0.0285,-179.2,176.5,175.7,83.8,8.71,12.93,12.15,10.52
ARG,154,0.0478,-176.8,177.8,-179.9,-178.4,9.03,10.45,10.09,12.69
ARG,103,0.032,-175.0,-179.6,179.8,-87.5,8.2,10.65,13.65,8.97
ARG,60,0.0186,-176.4,177.0,-67.7,108.1,12.37,8.2,13.16,5.71
ARG,119,0.0369,-176.0,177.5,-65.0,171.5,10.95,13.76,12.2,17.16
ARG,96,0.0298,-176.2,179.1,-63.1,-84.4,8.74,9.55,11.58,9.19
ARG,1,0.0003,-146.6,-92.3,112.5,95.4,0.0,0.0,0.0,0.0
ARG,4,0.0012,-146.3,-53.7,108.6,-176.0,19.12,34.16,10.68,17.44
ARG,6,0.0019,-162.2,-94.2,-158.7,63.1,13.25,2.0,24.1,19.97
ARG,17,0.0053,-163.4,-79.6,179.4,-169.6,22.58,17.14,14.41,12.05
ARG,5,0.0016,-140.4,-85.1,175.7,-81.5,14.84,19.23,14.33,14.62
ARG,21,0.0065,-156.0,-95.3,-69.4,177.0,14.45,13.01,16.21,15.59
ARG,6,0.0019,-168.2,-97.3,-54.6,-83.2,5.35,9.19,13.12,7.64
ARG,5,0.0016,-64.6,82.5,59.6,72.5,11.98,6.85,13.8,11.91
ARG,8,0.0025,-78.4,111.6,70.0,-174.1,20.3,4.1,13.8,16.03
ARG,2,0.0006,-85.8,110.6,95.9,-98.3,4.1,6.62,17.02,20.23
ARG,9,0.0028,-93.6,65.6,178.3,93.9,13.04,21.87,14.6,17.89
ARG,17,0.0053,-81.2,79.8,176.3,167.7,12.27,15.52,9.07,10.13
ARG,7,0.0022,-86.4,98.9,-156.6,-79.1,18.74,7.76,20.35,8.59
ARG,1,0.0003,-115.0,73.9,-79.7,-176.5,0.0,0.0,0.0,0.0
ARG,2,0.0006,-110.1,58.7,-75.4,-75.9,6.85,2.51,4.56,4.52
ARG,115,0.0357,-67.7,176.5,65.0,84.5,8.71,9.6,11.28,8.91
ARG,204,0.0633,-66.2,179.7,65.2,-173.0,9.13,12.72,9.61,14.72
ARG,32,0.0099,-65.7,-178.6,74.7,-104.6,11.29,11.05,13.31,8.7
ARG,182,0.0565,-68.6,-174.5,-178.5,88.6,7.93,12.86,12.87,11.67
ARG,291,0.0903,-66.0,-178.7,-179.7,178.7,7.64,9.53,10.22,13.01
ARG,165,0.0512,-67.4,-179.6,-179.0,-84.5,7.42,10.36,12.38,11.11
ARG,46,0.0143,-71.5,-172.4,-78.7,105.8,8.91,6.96,14.64,7.37
ARG,188,0.0583,-70.2,-179.7,-69.8,171.5,11.54,13.04,11.78,17.9
ARG,137,0.0425,-70.8,-168.2,-64.7,-88.3,8.66,7.57,10.86,9.25
ARG,16,0.005,-65.6,-81.9,70.4,85.1,7.34,14.64,14.21,9.15
ARG,19,0.0059,-62.9,-64.0,86.0,-154.9,4.4,12.83,13.09,14.19
ARG,2,0.0006,-59.5,-109.3,67.5,-101.8,5.83,5.26,0.41,13.27
ARG,36,0.0112,-63.1,-68.2,178.0,84.0,10.04,10.61,16.14,10.68
ARG,86,0.0267,-63.7,-68.2,179.4,-176.7,9.97,11.08,12.86,12.32
ARG,62,0.0192,-66.0,-69.2,-176.2,-88.4,6.84,7.76,8.19,8.2
ARG,7,0.0022,-64.6,-75.1,-72.3,102.4,10.93,9.02,10.43,9.41
ARG,52,0.0161,-61.9,-65.9,-63.0,172.4,9.82,14.46,10.04,10.3
ARG,57,0.0177,-64.2,-69.9,-61.8,-81.5,9.17,10.01,10.6,7.72
LYS,2,0.0005,50.4,96.7,83.6,71.5,7.59,4.02,7.64,8.59
LYS,1,0.0003,106.6,110.7,46.8,-164.9,0.0,0.0,0.0,0.0
LYS,1,0.0003,58.8,90.3,-158.7,64.2,0.0,0.0,0.0,0.0
LYS,9,0.0024,65.8,91.0,176.1,177.4,8.87,14.14,9.21,4.39
LYS,1,0.0003,54.1,98.4,179.6,-49.8,0.0,0.0,0.0,0.0
LYS,13,0.0034,62.1,172.4,64.3,64.4,11.14,9.92,7.35,9.79
LYS,34,0.009,56.0,179.0,64.1,175.8,17.61,11.04,7.78,9.8
LYS,2,0.0005,42.6,-152.6,89.2,-69.0,33.94,31.08,19.93,14.58
LYS,23,0.0061,60.8,-178.8,179.0,59.8,15.15,11.17,9.43,10.74
LYS,90,0.0239,62.6,179.2,-178.1,179.3,9.02,7.23,6.76,7.79
LYS,30,0.008,62.7,177.8,-177.1,-67.3,6.63,8.44,10.14,9.32
LYS,1,0.0003,51.3,-158.9,-66.7,73.4,0.0,0.0,0.0,0.0
LYS,30,0.008,64.2,-175.8,-66.9,-172.1,9.58,13.7,9.68,11.0
LYS,9,0.0024,57.1,-169.6,-83.8,-60.1,13.88,13.61,14.09,14.12
LYS,1,0.0003,51.5,-68.7,100.6,50.7,0.0,0.0,0.0,0.0
LYS,2,0.0005,77.1,-85.8,-173.3,65.2,7.54,5.67,3.98,10.57
LYS,4,0.0011,55.8,-100.2,174.2,-175.2,20.21,6.15,4.32,5.84
LYS,1,0.0003,54.5,-70.4,172.1,-60.6,0.0,0.0,0.0,0.0
LYS,1,0.0003,59.1,-102.7,-97.4,74.7,0.0,0.0,0.0,0.0
LYS,3,0.0008,12.4,-96.7,-74.1,175.0,22.09,18.99,8.58,0.65
LYS,2,0.0005,50.4,-90.6,-53.4,-52.9,23.14,3.27,9.42,4.31
LYS,10,0.0027,-174.5,64.9,63.7,66.6,8.69,14.3,9.34,7.19
LYS,26,0.0069,-177.7,66.0,67.6,179.9,7.72,14.85,6.71,8.84
LYS,2,0.0005,179.2,55.7,54.8,-76.0,10.52,2.98,0.31,2.42
LYS,32,0.0085,-174.9,72.6,178.0,62.5,11.14,13.9,15.92,8.59
LYS,109,0.0289,-176.1,66.6,178.7,178.7,11.68,8.56,8.59,8.55
LYS,38,0.0101,-175.4,64.7,178.5,-63.6,9.67,10.37,7.9,9.19
LYS,7,0.0019,-161.6,82.7,-78.2,174.4,15.8,17.11,8.16,5.86
LYS,1,0.0003,-162.9,31.6,-118.1,-4.1,0.0,0.0,0.0,0.0
LYS,27,0.0072,-171.8,171.1,67.7,66.3,10.85,13.98,15.02,7.0
LYS,97,0.0257,-171.8,174.8,68.9,176.1,10.23,11.62,10.71,10.16
LYS,9,0.0024,-174.8,161.1,78.5,-72.9,7.35,13.8,13.84,12.52
LYS,112,0.0297,-174.9,-180.0,177.4,64.4,8.13,10.23,10.35,10.79
LYS,436,0.1156,-175.8,178.4,179.5,-179.2,8.21,9.3,8.24,8.9
LYS,143,0.0379,-174.1,179.0,-177.8,-64.1,10.24,11.59,11.74,10.74
LYS,11,0.0029,-175.7,173.9,-71.7,68.3,10.23,9.55,8.91,11.4
LYS,121,0.0321,-171.0,-176.6,-66.2,-179.6,10.87,14.63,11.49,9.7
LYS,37,0.0098,-176.9,-178.4,-73.4,-69.8,9.39,13.06,11.3,12.03
LYS,1,0.0003,-133.7,-72.0,104.9,-123.7,0.0,0.0,0.0,0.0
LYS,1,0.0003,-153.2,-68.6,107.0,-60.0,0.0,0.0,0.0,0.0
LYS,19,0.005,-157.5,-81.9,-175.0,67.3,14.89,12.24,10.01,11.82
LYS,21,0.0056,-153.7,-78.0,-178.4,-178.4,15.21,14.96,6.83,4.72
LYS,10,0.0027,-154.4,-84.3,-173.5,-65.3,14.04,15.03,8.94,6.2
LYS,2,0.0005,-177.8,-70.7,-80.7,67.2,9.23,0.29,4.38,6.7
LYS,5,0.0013,-163.6,-103.9,-72.2,171.0,12.77,7.98,6.22,20.01
LYS,2,0.0005,-144.0,-87.1,-59.7,-48.5,6.07,9.51,13.1,24.4
LYS,3,0.0008,-83.4,81.9,59.5,61.0,18.5,5.58,7.8,7.91
LYS,9,0.0024,-90.9,77.4,65.3,-171.9,10.57,20.2,7.99,14.1
LYS,19,0.005,-85.1,71.2,174.0,58.9,7.2,19.95,12.49,13.99
LYS,54,0.0143,-86.0,77.4,-177.7,175.2,17.58,15.41,8.87,8.77
LYS,14,0.0037,-97.7,65.0,174.0,-59.7,7.48,12.31,13.56,14.26
LYS,2,0.0005,-84.5,89.9,-74.1,-179.1,23.39,8.01,1.91,1.49
LYS,69,0.0183,-67.9,173.7,70.5,66.0,9.01,12.83,10.33,9.22
LYS,155,0.0411,-68.1,175.3,69.3,176.3,10.7,14.96,11.39,10.1
LYS,20,0.0053,-65.6,175.8,77.8,-71.0,11.18,12.51,10.87,8.22
LYS,178,0.0472,-69.6,-174.9,175.8,65.5,8.43,11.23,13.17,10.41
LYS,786,0.2085,-67.5,-179.0,179.7,179.1,8.07,9.09,9.02,9.46
LYS,192,0.0509,-66.2,-179.2,-179.2,-63.4,7.62,11.02,12.22,11.2
LYS,17,0.0045,-68.9,-176.3,-80.1,68.0,12.93,13.88,11.91,8.84
LYS,154,0.0408,-66.9,-171.7,-68.9,-177.2,8.58,11.97,11.99,12.01
LYS,56,0.0149,-66.5,-169.2,-67.5,-67.1,8.05,11.57,8.52,11.91
LYS,3,0.0008,-64.6,-83.6,87.5,52.0,19.23,12.48,12.77,10.48
LYS,12,0.0032,-59.7,-86.7,76.0,172.5,10.42,13.89,9.65,11.14
LYS,5,0.0013,-80.9,-80.4,78.9,-47.6,13.75,11.8,6.69,33.93
LYS,89,0.0236,-63.9,-67.6,-178.5,62.8,8.58,12.43,12.16,10.09
LYS,219,0.0581,-64.5,-66.2,179.7,-178.4,9.93,11.04,9.83,9.14
LYS,97,0.0257,-61.5,-64.2,-178.3,-61.6,7.96,9.88,11.73,10.2
LYS,6,0.0016,-54.0,-70.1,-100.0,61.6,13.73,12.54,9.23,5.65
LYS,52,0.0138,-60.6,-66.5,-71.9,-178.1,10.1,12.15,9.83,8.34
LYS,20,0.0053,-59.8,-67.4,-70.8,-66.4,6.79,14.15,13.26,10.33
GLN,7,0.0033,66.7,81.9,42.1,0.0,6.23,6.43,13.78,0.0
GLN,2,0.0009,33.5,74.7,176.3,0.0,6.71,13.94,50.07,0.0
GLN,2,0.0009,74.7,93.7,-18.2,0.0,2.17,3.21,11.4,0.0
GLN,47,0.0219,65.4,-175.9,55.2,0.0,7.13,12.3,21.67,0.0
GLN,19,0.0088,58.5,-173.2,164.2,0.0,16.29,10.27,14.8,0.0
GLN,50,0.0233,60.7,-180.0,-47.7,0.0,8.59,8.41,18.93,0.0
GLN,17,0.0079,61.7,-84.1,22.0,0.0,14.09,7.29,17.62,0.0
GLN,3,0.0014,43.9,-94.5,170.4,0.0,15.46,12.21,19.71,0.0
GLN,14,0.0065,63.3,-74.5,-41.1,0.0,13.36,9.44,15.24,0.0
GLN,178,0.0829,-173.4,65.0,49.7,0.0,9.74,8.85,14.21,0.0
GLN,38,0.0177,-172.8,67.2,-147.2,0.0,12.67,8.68,18.33,0.0
GLN,53,0.0247,-175.4,69.0,-74.2,0.0,10.06,8.86,26.47,0.0
GLN,147,0.0685,-175.6,177.8,49.3,0.0,9.18,9.48,19.68,0.0
GLN,53,0.0247,-175.6,176.5,179.8,0.0,9.58,8.72,24.39,0.0
GLN,179,0.0834,-174.5,-179.8,-36.0,0.0,9.1,9.63,21.26,0.0
