AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,2,0.0006,57.6,87.7,67.1,64.5,17.92,23.73,4.73,17.76
ARG,3,0.0009,61.8,102.5,55.7,-170.5,25.87,13.45,15.35,21.31
ARG,1,0.0003,18.7,70.4,66.4,-109.1,0.0,0.0,0.0,0.0
ARG,3,0.0009,65.8,94.8,178.1,84.2,10.69,4.5,4.35,6.14
ARG,7,0.0022,61.9,98.6,-179.1,173.3,3.13,9.92,11.52,7.89
ARG,1,0.0003,70.3,99.9,-173.6,-103.5,0.0,0.0,0.0,0.0
ARG,1,0.0003,27.5,74.3,-112.1,-159.8,0.0,0.0,0.0,0.0
ARG,1,0.0003,60.1,69.1,-104.8,-83.2,0.0,0.0,0.0,0.0
ARG,14,0.0043,64.2,174.7,59.3,85.5,11.99,10.43,9.2,11.33
ARG,34,0.0105,61.7,-171.5,64.1,-177.2,12.32,15.35,11.22,14.03
ARG,12,0.0037,65.4,-176.3,68.6,-103.2,8.56,10.46,10.75,9.01
ARG,42,0.013,65.2,177.7,176.7,86.6,6.42,10.16,8.64,5.77
ARG,67,0.0208,65.6,-177.3,-179.7,-178.6,10.06,10.03,10.1,14.82
ARG,39,0.0121,60.8,-173.9,-175.8,-81.4,6.19,10.2,8.71,8.72
ARG,5,0.0016,57.7,-173.4,-65.1,104.9,9.74,6.98,9.85,6.46
ARG,31,0.0096,66.2,-177.8,-69.6,174.6,10.75,11.98,10.82,16.76
ARG,10,0.0031,65.3,-171.0,-66.0,-80.5,7.45,15.76,7.11,5.46
ARG,1,0.0003,45.5,-115.3,33.7,-164.5,0.0,0.0,0.0,0.0
ARG,1,0.0003,73.7,-118.2,72.6,-95.4,0.0,0.0,0.0,0.0
ARG,1,0.0003,80.3,-51.2,156.3,52.0,0.0,0.0,0.0,0.0
ARG,3,0.0009,42.4,-97.6,170.7,167.7,8.95,10.94,13.5,21.44
ARG,3,0.0009,56.8,-73.0,178.5,-83.2,24.13,16.92,8.1,6.44
ARG,4,0.0012,73.3,-66.2,-45.8,167.6,13.13,11.34,26.76,17.38
ARG,1,0.0003,42.5,-75.9,-64.1,-64.5,0.0,0.0,0.0,0.0
ARG,18,0.0056,-172.2,69.2,61.9,86.3,10.51,11.49,8.62,10.06
ARG,31,0.0096,179.2,75.2,60.9,-172.0,10.02,15.44,9.11,17.32
ARG,9,0.0028,-172.3,66.9,72.0,-98.0,10.73,11.61,12.84,15.73
ARG,35,0.0109,-171.7,67.7,177.8,82.1,12.92,9.92,11.98,9.65
ARG,79,0.0245,-179.8,65.3,178.3,173.0,7.22,8.94,10.27,13.29
ARG,29,0.009,-175.9,65.5,-174.1,-86.3,12.21,11.39,17.55,14.47
