AA,_COUNT,COUNT,PROB,CHI1,CHI2,CHI3,CHI4,CHI1Sig,CHI2Sig,CHI3Sig,CHI4Sig
ARG,5,4454,0.001122586439155815,61.19028773803732,98.84839293984673,51.454217130871,-173.31410562582536,27.29055693403429,14.32858004681497,6.773912718716438,23.2026123057031
ARG,6,4454,0.001347103726986978,61.07200095070045,99.91595240883939,-177.7405345325142,174.0541670117765,2.851679530348105,11.296459338284931,13.605376986522167,9.457554973389193
ARG,16,4454,0.003592276605298608,64.91614522105178,173.71727646116327,62.14452882018607,85.51649587642501,12.226577062671549,11.774464507639445,8.684831083099692,11.977558111336243
ARG,38,4454,0.008531656937584195,62.374295911128954,-173.29321973460975,65.25593212971306,-176.92596386966136,11.7996915079854,15.082962363860963,10.321722047935998,15.018378137445268
ARG,13,4454,0.0029187247418051188,66.67029613133137,-173.67271574743324,72.53065592085804,-104.97524413210148,8.642033250640202,10.422358527959917,14.792719284388419,10.284083407525383
ARG,43,4454,0.009654243376740009,63.73897354374429,179.36076180914276,178.85767511311553,86.21647461656279,8.266208637731088,10.2704448283702,11.748744654530544,6.137468338348677
ARG,64,4454,0.014369106421194431,66.56658743775695,-177.66109654744122,178.98731770087372,-176.57081135222776,9.579471322693523,11.124237732436024,9.584561148242258,15.319888249588187
ARG,46,4454,0.010327795240233499,61.26721645021894,-175.7338150627703,-176.14335284090916,-82.2416085016025,7.20235449851683,10.146526390848946,9.150036018126428,8.77574908680587
ARG,36,4454,0.008082622361921869,67.52576647627804,-176.95536396903623,-71.00276712159524,174.0858703543081,10.380957159884451,11.990365972762582,11.477880304761525,17.646659898118
ARG,15,4454,0.003367759317467445,62.431013946742944,-178.41030103671298,-61.343584630261944,-80.55367151187461,10.741612950552298,12.52586811297788,10.598331860197082,8.698815006648552
ARG,21,4454,0.004714863044454423,-173.0733371170493,66.14152707754882,62.69517769875848,86.166069362119,10.093991847821009,14.563240404529735,9.034827187290237,10.96075604010686
ARG,32,4454,0.007184553210597216,175.48912952804727,69.47605767616784,63.873315821936686,-175.10397879316292,9.812236822277754,17.246092061620576,12.773887273133871,17.055747570007355
