AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,2,0.0005,51.3,91.8,68.7,80.2,14.08,3.31,11.59,4.19
ARG,4,0.001,78.1,106.3,81.6,174.0,15.52,17.12,2.61,3.3
ARG,1,0.0002,55.8,100.7,69.2,-119.2,0.0,0.0,0.0,0.0
ARG,1,0.0002,29.8,80.5,152.6,98.7,0.0,0.0,0.0,0.0
ARG,7,0.0017,55.2,94.7,173.5,175.0,10.54,12.9,15.1,10.91
ARG,2,0.0005,45.1,81.0,-175.2,-85.9,26.27,16.54,0.86,14.46
ARG,1,0.0002,45.1,93.7,-108.8,-87.8,0.0,0.0,0.0,0.0
ARG,24,0.0059,65.7,177.7,63.6,88.6,13.51,10.25,12.72,9.21
ARG,38,0.0094,68.0,-177.6,62.0,-175.5,11.06,12.89,12.85,11.45
ARG,15,0.0037,66.1,-173.0,74.9,-105.7,9.67,14.47,13.76,7.79
ARG,65,0.016,66.1,-178.8,176.6,87.3,8.91,10.04,9.58,7.89
ARG,75,0.0185,63.1,-179.9,179.6,-178.1,9.53,10.79,11.25,11.56
ARG,42,0.0104,63.3,-176.4,-176.5,-85.1,4.52,10.04,9.41,8.12
ARG,4,0.001,71.0,-177.4,-54.7,104.2,4.63,3.78,7.55,9.76
ARG,44,0.0109,59.6,178.3,-62.7,175.8,11.0,12.73,11.1,14.21
ARG,19,0.0047,63.8,-176.9,-61.6,-87.1,9.76,15.99,11.28,6.88
ARG,1,0.0002,97.2,-83.1,100.0,99.6,0.0,0.0,0.0,0.0
ARG,5,0.0012,52.4,-84.6,-166.4,71.6,22.24,8.43,8.87,8.33
ARG,5,0.0012,62.2,-97.1,176.3,166.1,14.03,5.17,21.95,18.82
ARG,2,0.0005,23.1,-93.6,-163.1,-96.6,13.09,13.44,9.11,10.52
ARG,1,0.0002,77.0,-109.2,-97.1,95.1,0.0,0.0,0.0,0.0
ARG,4,0.001,73.0,-111.6,-74.5,-179.5,13.1,13.27,12.99,21.58
ARG,3,0.0007,70.6,-93.0,-60.5,-102.2,26.39,18.39,2.2,13.78
ARG,27,0.0067,-174.9,66.1,63.8,83.1,9.63,8.29,12.99,8.84
ARG,39,0.0096,-178.1,77.9,64.1,-177.2,11.77,13.94,9.65,11.45
ARG,3,0.0007,-165.3,72.8,67.2,-110.3,8.89,7.34,3.67,2.0
ARG,48,0.0118,-175.8,69.7,176.9,91.0,11.69,10.43,11.22,12.04
ARG,75,0.0185,-176.6,64.4,177.6,175.7,10.37,8.51,11.32,13.82
ARG,39,0.0096,-177.9,73.5,-176.3,-82.5,8.85,13.03,15.12,12.35
ARG,20,0.0049,-175.4,74.8,-82.3,169.1,9.05,11.5,15.13,10.13
ARG,8,0.002,176.6,80.9,-90.0,-99.9,4.51,5.05,11.87,11.78
ARG,149,0.0368,-177.5,175.8,64.7,82.6,9.27,12.47,9.71,11.01
ARG,160,0.0395,-173.8,177.9,63.5,-166.4,10.95,14.79,9.62,19.23
ARG,66,0.0163,-172.4,175.2,69.8,-106.3,7.71,13.89,13.28,7.51
ARG,106,0.0262,-178.4,177.4,175.0,83.8,9.23,12.81,13.14,10.69
ARG,192,0.0474,-176.8,177.4,-179.5,-179.1,9.39,11.11,10.96,12.85
ARG,129,0.0318,-175.0,180.0,-179.2,-87.5,8.41,11.14,13.72,9.45
ARG,75,0.0185,-175.6,177.1,-67.6,107.7,12.06,8.94,12.71,5.69
ARG,161,0.0397,-176.0,178.2,-66.1,170.8,10.45,14.0,12.06,17.96
ARG,120,0.0296,-176.1,-179.6,-63.2,-84.3,9.09,9.7,11.61,9.22
ARG,1,0.0002,-146.6,-92.3,112.5,95.4,0.0,0.0,0.0,0.0
ARG,4,0.001,-146.3,-53.7,108.6,-176.0,19.12,34.16,10.68,17.44
ARG,6,0.0015,-162.2,-94.2,-158.7,63.1,13.25,2.0,24.1,19.97
ARG,21,0.0052,-165.8,-83.3,178.3,-174.9,21.49,15.49,14.36,14.26
ARG,6,0.0015,-137.7,-81.6,174.8,-80.3,12.59,16.65,11.75,12.32
ARG,26,0.0064,-155.0,-93.8,-67.5,173.3,13.41,12.42,16.41,15.62
ARG,9,0.0022,-171.4,-93.4,-53.1,-78.0,5.78,9.56,9.07,7.41
ARG,6,0.0015,-67.9,79.3,55.6,76.4,11.62,8.69,16.17,12.26
ARG,11,0.0027,-79.7,105.9,66.7,178.9,15.06,9.62,11.38,14.66
ARG,3,0.0007,-75.2,110.2,108.9,-82.9,27.36,4.61,14.64,17.05
ARG,13,0.0032,-94.1,74.5,177.3,88.3,16.34,20.48,14.94,19.74
ARG,20,0.0049,-83.6,77.7,175.9,169.3,11.92,15.5,10.07,11.66
ARG,9,0.0022,-78.6,98.9,-150.5,-78.7,16.77,9.97,18.3,11.37
ARG,2,0.0005,-112.0,64.9,-92.3,-179.9,2.95,9.0,12.61,3.34
ARG,2,0.0005,-110.1,58.7,-75.4,-75.9,6.85,2.51,4.56,4.52
ARG,140,0.0345,-67.7,177.2,64.5,84.3,8.68,9.37,10.63,8.96
ARG,250,0.0617,-66.4,178.5,64.8,-172.3,9.27,12.61,9.88,14.73
ARG,41,0.0101,-64.5,179.9,75.2,-104.6,10.33,10.61,12.57,9.5
ARG,217,0.0535,-68.1,-174.7,-179.5,88.0,7.72,12.55,12.46,11.45
ARG,383,0.0945,-66.8,-179.3,-179.2,178.1,7.87,10.03,10.84,13.11
ARG,205,0.0506,-67.6,180.0,-178.7,-84.4,7.5,10.38,11.71,11.02
ARG,55,0.0136,-72.0,-172.6,-78.1,106.4,9.39,7.54,14.75,7.47
ARG,238,0.0587,-70.1,179.2,-69.6,171.3,11.04,13.17,11.7,17.9
ARG,170,0.0419,-70.4,-168.6,-64.8,-87.8,8.86,8.13,10.55,9.44
ARG,19,0.0047,-65.2,-77.7,73.4,85.7,7.38,14.08,14.07,9.41
ARG,22,0.0054,-62.7,-62.9,87.0,-156.2,4.85,15.06,14.72,14.57
ARG,2,0.0005,-59.5,-109.3,67.5,-101.8,5.83,5.26,0.41,13.27
ARG,49,0.0121,-60.0,-67.1,179.2,83.3,9.57,12.7,15.12,10.87
ARG,112,0.0276,-63.2,-69.2,179.4,-178.8,9.33,10.13,12.05,12.85
ARG,79,0.0195,-66.0,-69.6,-176.7,-87.0,6.73,7.47,8.74,8.87
ARG,10,0.0025,-58.3,-72.7,-75.5,98.7,11.64,6.87,15.43,13.43
ARG,66,0.0163,-61.2,-67.6,-63.7,172.1,10.13,15.35,10.86,11.23
ARG,74,0.0183,-63.7,-69.0,-62.0,-82.8,8.85,10.29,11.23,8.72
LYS,2,0.0004,50.4,96.7,83.6,71.5,7.59,4.02,7.64,8.59
LYS,3,0.0007,83.7,111.2,59.6,168.7,11.2,3.75,8.96,12.75
LYS,1,0.0002,58.8,90.3,-158.7,64.2,0.0,0.0,0.0,0.0
LYS,11,0.0025,67.8,94.6,174.8,177.9,8.91,12.85,9.87,6.07
LYS,1,0.0002,54.1,98.4,179.6,-49.8,0.0,0.0,0.0,0.0
LYS,14,0.0031,62.9,174.1,65.4,65.1,10.42,11.43,7.74,9.2
LYS,41,0.0092,60.3,177.2,65.2,174.6,18.0,11.43,8.74,11.23
LYS,2,0.0004,42.6,-152.6,89.2,-69.0,33.94,31.08,19.93,14.58
LYS,24,0.0054,61.2,-178.1,178.3,60.8,14.58,11.11,9.56,11.88
LYS,110,0.0247,62.8,179.2,-178.6,178.4,8.59,7.44,7.52,7.74
LYS,36,0.0081,63.0,179.1,-176.6,-67.5,7.11,9.64,10.63,9.99
LYS,2,0.0004,56.2,-173.8,-79.8,66.9,4.93,14.89,13.15,6.47
LYS,36,0.0081,65.3,-176.2,-68.3,-170.9,9.95,13.12,11.35,12.49
LYS,15,0.0034,56.3,-173.5,-78.5,-64.1,14.33,11.34,15.54,16.07
LYS,2,0.0004,48.8,-69.4,104.7,57.2,2.74,0.71,4.15,6.54
LYS,2,0.0004,77.1,-85.8,-173.3,65.2,7.54,5.67,3.98,10.57
LYS,4,0.0009,55.8,-100.2,174.2,-175.2,20.21,6.15,4.32,5.84
LYS,1,0.0002,54.5,-70.4,172.1,-60.6,0.0,0.0,0.0,0.0
LYS,1,0.0002,59.1,-102.7,-97.4,74.7,0.0,0.0,0.0,0.0
LYS,3,0.0007,12.4,-96.7,-74.1,175.0,22.09,18.99,8.58,0.65
LYS,2,0.0004,50.4,-90.6,-53.4,-52.9,23.14,3.27,9.42,4.31
LYS,12,0.0027,-174.3,66.1,64.8,68.5,9.57,14.92,11.0,7.37
