AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,2,0.0005,57.6,87.7,67.1,64.5,17.92,23.73,4.73,17.76
ARG,6,0.0015,60.0,100.0,54.3,-174.3,22.71,12.32,10.01,19.25
ARG,1,0.0002,18.7,70.4,66.4,-109.1,0.0,0.0,0.0,0.0
ARG,3,0.0007,65.8,94.8,178.1,84.2,10.69,4.5,4.35,6.14
ARG,7,0.0017,61.9,98.6,-179.1,173.3,3.13,9.92,11.52,7.89
ARG,1,0.0002,70.3,99.9,-173.6,-103.5,0.0,0.0,0.0,0.0
ARG,1,0.0002,27.5,74.3,-112.1,-159.8,0.0,0.0,0.0,0.0
ARG,1,0.0002,60.1,69.1,-104.8,-83.2,0.0,0.0,0.0,0.0
ARG,19,0.0047,65.4,176.0,61.7,87.8,11.33,10.86,9.19,12.39
ARG,43,0.0106,61.3,-175.6,65.4,-176.8,11.61,16.76,10.38,13.86
ARG,18,0.0044,64.6,-175.3,71.4,-102.6,9.37,9.06,10.81,10.92
ARG,56,0.0138,64.0,177.4,178.0,86.1,7.49,10.0,10.61,6.73
ARG,76,0.0188,65.8,-177.7,-179.9,-179.2,10.11,10.57,9.92,14.53
ARG,55,0.0136,61.8,-175.9,-173.6,-82.0,6.54,10.39,9.75,8.24
ARG,5,0.0012,57.7,-173.4,-65.1,104.9,9.74,6.98,9.85,6.46
ARG,45,0.0111,67.9,-177.2,-71.9,175.9,10.45,11.21,11.78,16.78
ARG,17,0.0042,63.6,-172.9,-62.0,-81.2,8.32,12.67,8.89,8.28
ARG,1,0.0002,45.5,-115.3,33.7,-164.5,0.0,0.0,0.0,0.0
ARG,1,0.0002,73.7,-118.2,72.6,-95.4,0.0,0.0,0.0,0.0
ARG,3,0.0007,32.7,-52.7,166.3,89.3,24.36,20.99,25.59,19.01
ARG,5,0.0012,38.9,-94.6,156.8,169.8,6.24,7.68,15.64,20.72
ARG,4,0.001,54.2,-81.2,-175.8,-88.0,16.69,16.82,10.86,9.28
ARG,4,0.001,73.3,-66.2,-45.8,167.6,13.13,11.34,26.76,17.38
ARG,2,0.0005,33.9,-94.0,-66.3,-63.6,8.62,18.1,2.24,0.94
ARG,23,0.0057,-172.3,67.5,61.4,86.6,9.43,13.72,9.15,10.09
ARG,39,0.0096,177.1,72.2,63.1,-174.6,10.09,16.26,11.23,17.41
ARG,9,0.0022,-172.3,66.9,72.0,-98.0,10.73,11.61,12.84,15.73
ARG,45,0.0111,-174.5,68.1,175.7,84.1,12.72,9.35,11.66,10.34
ARG,90,0.0222,-179.3,65.8,178.1,174.0,7.8,9.27,10.44,12.94
ARG,32,0.0079,-174.2,66.3,-175.8,-87.0,13.64,11.64,17.76,13.76
ARG,1,0.0002,-172.5,90.0,-63.2,115.7,0.0,0.0,0.0,0.0
ARG,17,0.0042,-175.4,78.9,-83.5,164.1,13.36,16.24,15.16,16.67
ARG,3,0.0007,-172.8,78.7,-70.1,-67.9,4.29,13.68,18.5,7.75
ARG,167,0.0412,-178.7,177.8,65.6,81.6,8.36,10.98,11.23,9.58
ARG,156,0.0385,-173.9,175.2,66.4,-166.7,9.65,14.08,9.99,18.61
ARG,64,0.0158,-174.0,174.2,64.5,-105.5,9.65,11.67,14.1,8.72
ARG,95,0.0234,-177.7,176.6,176.5,80.2,9.85,12.9,11.99,13.6
ARG,200,0.0493,-175.9,176.5,-178.8,-179.0,8.7,10.26,10.37,12.36
ARG,135,0.0333,-177.0,176.4,-179.6,-87.4,9.77,9.33,11.3,10.08
ARG,79,0.0195,-175.1,178.0,-71.2,106.8,9.04,8.46,14.18,7.49
ARG,155,0.0382,-174.6,178.3,-61.4,168.5,11.54,11.99,11.23,17.03
ARG,119,0.0294,-174.5,-178.9,-64.7,-84.3,9.51,9.51,9.16,9.16
ARG,2,0.0005,-151.5,-61.2,96.9,95.2,0.44,8.95,0.77,23.43
ARG,6,0.0015,-146.1,-45.5,96.5,-168.9,18.89,19.52,20.28,12.22
ARG,1,0.0002,-178.3,-30.4,72.4,-103.4,0.0,0.0,0.0,0.0
ARG,11,0.0027,-161.6,-89.9,-178.6,82.7,19.62,12.53,15.22,13.36
ARG,17,0.0042,-151.1,-84.6,177.0,176.6,19.31,19.12,18.15,12.02
ARG,6,0.0015,-151.4,-84.0,-172.9,-71.4,17.16,22.43,16.39,11.15
ARG,1,0.0002,-171.1,-72.9,-107.4,67.0,0.0,0.0,0.0,0.0
