Res	Avg.E	Form
ARG	2.169965	U
ASN	1.776438	U
ASP	1.479745	U
CYS	1.557222	U
GLN	2.425285	U
GLU	2.775067	U
HIS	1.628551	U
ILE	1.395403	U
LEU	1.589973	U
LYS	1.828701	U
MET	1.809977	U
PHE	11.706685	U
SER	1.674711	U
THR	1.352283	U
TRP	3.240064	U
TYR	11.641792	U
VAL	1.385442	U
ARG	2.129037	B
ASN	1.816307	B
ASP	1.499884	B
CYS	1.550465	B
GLN	2.401929	B
GLU	2.721999	B
HIS	1.680673	B
ILE	1.418427	B
LEU	1.569373	B
LYS	1.834529	B
MET	1.736995	B
PHE	11.650447	B
SER	1.673557	B
THR	1.368433	B
TRP	3.119259	B
TYR	11.833879	B
VAL	1.423449	B
