Res	Avg.E	Form
ARG	2.120051	U
ASN	1.807373	U
ASP	1.564651	U
CYS	1.491137	U
GLN	2.412032	U
GLU	2.760895	U
HIS	1.613781	U
ILE	1.440215	U
LEU	1.603388	U
LYS	1.86829	U
MET	1.823099	U
PHE	11.730304	U
SER	1.622083	U
THR	1.37149	U
TRP	3.225984	U
TYR	11.685558	U
VAL	1.351785	U
ARG	2.14	B
ASN	1.787607	B
ASP	1.557041	B
CYS	1.466795	B
GLN	2.421784	B
GLU	2.748388	B
HIS	1.608453	B
ILE	1.442306	B
LEU	1.609932	B
LYS	1.867175	B
MET	1.8286	B
PHE	11.781383	B
SER	1.625413	B
THR	1.374233	B
TRP	3.23727	B
TYR	11.695398	B
VAL	1.356284	B
