Res	Avg.E	Form
1ASY	10.307056	U
1B23	17.856705	U
1C0A	10.617469	U
1QTQ	26.517715	U
2BTE	0.890703	U
2DRB	17.591712	U
2FMT	8.808295	U
2ZZM	24.378278	U
3HL2	2.548578	U
3VJR	1.316237	U
1DFU	1.404531	U
1FEU	4.283102	U
1MMS	1.237077	U
1OOA	5.799062	U
1R3E	23.856714	U
2R8S	15.452531	U
3SNP	11.206035	U
1JBS	6.764261	U
1WSU	2.223325	U
1ZBH	0.000000	U
2BH2	29.053884	U
1F7U	41.531771	U
1H3E	12.183499	U
1H4S	17.474014	U
1J1U	0.000000	U
1N78	15.016364	U
1QF6	14.769199	U
1SER	0.000000	U
1U0B	19.591391	U
1VFG	12.002799	U
2AZX	6.839864	U
2FK6	0.547068	U
3ADB	10.138091	U
3AMT	11.248657	U
4YCP	18.371811	U
4YVJ	17.041529	U
5HR7	13.269979	U
1SDS	0.000000	U
2HW8	8.818440	U
1MSW	17.844961	U
1N35	14.958979	U
1Q2R	8.937940	U
1WNE	13.205919	U
1YVP	9.399825	U
1ZBI	0.000000	U
2AZ0	0.000000	U
2BGG	32.033365	U
2EZ6	6.654847	U
2F8S	9.897592	U
2GJW	44.974508	U
2GXB	7.699794	U
2QUX	5.454094	U
2Y8W	16.020856	U
2ZKO	0.000000	U
3BSN	9.066312	U
3DD2	10.797995	U
3EQT	20.580777	U
3FTE	2.303409	U
3KS8	4.906265	U
3MOJ	0.000000	U
3O3I	36.504200	U
3OIJ	0.000000	U
3OL6	13.010899	U
3RW6	13.837274	U
4ERD	36.917737	U
4FVU	11.707123	U
4IG8	3.736120	U
4ILL	30.072927	U
4ZT0	63.094449	U
5ED1	4.417646	U
5F5H	10.408066	U
1AV6	2.576577	U
1C9S	8.333012	U
1CVJ	24.275150	U
1G2E	32.280793	U
1K8W	7.718083	U
1KQ2	43.312449	U
1M5O	8.256289	U
1M8V	6.833514	U
1M8W	39.929471	U
1UVI	24.860660	U
1WPU	3.004759	U
2A8V	20.460388	U
2ASB	8.513295	U
2GIC	5.845194	U
2IX1	39.563792	U
2JEA	3.118431	U
2JLU	1.748405	U
2PY9	0.000000	U
2Q66	14.744349	U
2R7R	17.958539	U
2XGJ	4.709067	U
2XNR	12.261307	U
2XZO	17.435870	U
3AEV	2.032999	U
3BX2	25.428979	U
3D2S	2.254161	U
3MDG	9.473669	U
3NMR	6.393756	U
3O8C	2.136950	U
3PF4	16.258580	U
3QJJ	28.067641	U
3RC8	10.707970	U
4E78	18.880934	U
4H5P	29.952559	U
4HOR	33.305345	U
4J7M	6.663558	U
4M59	29.342013	U
4MDX	7.908398	U
4N2Q	2.674007	U
4QU6	9.313844	U
5BUD	8.000846	U
5DET	11.698063	U
5EIM	10.486655	U
5ELS	0.000000	U
5EX7	16.448474	U
1G1X	11.756482	U
2OZB	0.000000	U
3A6P	9.154547	U
3IEV	8.426577	U
3ZC0	8.155533	U
5WTK	59.085918	U
5LTA	19.226934	U
5WTY	34.668073	U
5GXH	26.396316	U
5T8Y	0.000000	U
5B63	16.938171	U
5SZE	3.378662	U
5V7C	14.994889	U
5W0M	6.684083	U
5WT1	44.450332	U
5WWX	4.449005	U
5X6B	7.806960	U
5ZQ8	22.309971	U
5ZSC	16.267015	U
5ZW4	2.838418	U
6A4E	4.207872	U
6A6J	15.228253	U
6DCB	2.144401	U
6FQ3	9.372886	U
6GC5	19.641491	U
6HAU	13.909383	U
6I0V	7.024035	U
6L1W	18.080372	U
6L5N	11.438030	U
6LLB	17.315064	U
6LT7	14.652420	U
6LVR	10.034563	U
6PZQ	6.877338	U
6R9P	17.813770	U
6RTI	10.233955	U
6SY4	6.577160	U
6U6Y	53.001173	U
6U9X	16.158561	U
6ZOT	0.000000	U
6WXY	13.414752	U
6ZDP	3.977156	U
7C45	25.565876	U
7DOL	18.839791	U
7E8O	0.669525	U
7EIU	20.761688	U
7K5L	8.073113	U
7K98	59.531392	U
7KFN	2.125204	U
7KKV	1.572956	U
7KL3	10.502045	U
7L6T	2.717895	U
7MJW	11.970351	U
7OG0	9.839125	U
7OM6	24.169835	U
7P0V	3.644908	U
7V4G	13.547832	U
7XD8	29.820132	U
7VSJ	11.752880	U
7VKI	10.803575	U
7VKL	1.142136	U
7Y7Q	2.314811	U
8AF0	0.000000	U
8DZK	14.751229	U
8EDJ	32.345148	U
8H1B	10.926407	U
7YSE	15.716127	U
7XWZ	8.297844	U
8AXF	59.595875	U
8JOZ	16.686012	U
7ZLQ	3.025990	U
8TG4	3.315075	U
1ASY	5.972337	B
1B23	13.645576	B
1C0A	9.824957	B
1QTQ	24.722460	B
2BTE	2.514315	B
2DRB	17.567672	B
2FMT	9.022266	B
2ZZM	23.086266	B
3HL2	3.124007	B
3VJR	0.948941	B
1DFU	6.622732	B
1FEU	10.642886	B
1MMS	0.812725	B
1OOA	9.455149	B
1R3E	17.786753	B
2R8S	20.385527	B
3SNP	9.291336	B
1JBS	12.430508	B
1WSU	3.729906	B
1ZBH	0.000000	B
2BH2	20.241231	B
1F7U	29.071773	B
1H3E	12.349367	B
1H4S	19.507361	B
1J1U	0.000000	B
1N78	24.306220	B
1QF6	14.433918	B
1SER	0.000000	B
1U0B	18.446762	B
1VFG	6.259662	B
2AZX	12.136694	B
2FK6	3.131351	B
3ADB	13.635651	B
3AMT	2.662746	B
4YCP	15.851037	B
4YVJ	25.469680	B
5HR7	18.775590	B
1SDS	0.000000	B
2HW8	17.509622	B
1MSW	13.742577	B
1N35	9.688955	B
1Q2R	6.069214	B
1WNE	5.618604	B
1YVP	20.146712	B
1ZBI	0.000000	B
2AZ0	0.000000	B
2BGG	32.888739	B
2EZ6	9.675325	B
2F8S	8.475351	B
2GJW	40.955229	B
2GXB	8.255983	B
2QUX	6.538588	B
2Y8W	10.884350	B
2ZKO	0.000000	B
3BSN	11.750712	B
3DD2	9.212480	B
3EQT	22.711308	B
3FTE	3.075668	B
3KS8	7.697824	B
3MOJ	0.000000	B
3O3I	30.476621	B
3OIJ	0.000000	B
3OL6	15.275987	B
3RW6	11.599098	B
4ERD	47.997015	B
4FVU	6.769600	B
4IG8	8.358210	B
4ILL	33.689781	B
4ZT0	61.462251	B
5ED1	4.709739	B
5F5H	6.332824	B
1AV6	1.903095	B
1C9S	8.119381	B
1CVJ	8.295565	B
1G2E	25.528150	B
1K8W	5.129987	B
1KQ2	39.206403	B
1M5O	7.814082	B
1M8V	8.033741	B
1M8W	29.109040	B
1UVI	30.802798	B
