Res	Avg.E	Form
1ASY	135.453228	B
1B23	62.781036	B
1C0A	155.700948	B
1QTQ	156.384971	B
2BTE	277.625412	B
2DRB	137.101361	B
2FMT	35.759671	B
2ZZM	67.639128	B
3HL2	459.735705	B
3VJR	53.112161	B
1DFU	13.697101	B
1FEU	34.434339	B
1MMS	21.032363	B
1OOA	92.308540	B
1R3E	57.545269	B
2R8S	107.947506	B
3SNP	269.838339	B
1JBS	35.106128	B
1WSU	30.523359	B
1ZBH	159.379378	B
2BH2	63.060159	B
1F7U	175.160794	B
1H3E	172.095293	B
1H4S	322.397608	B
1J1U	182.832327	B
1N78	120.648639	B
1QF6	123.253026	B
1SER	244.578983	B
1U0B	115.368982	B
1VFG	105.224668	B
2AZX	282.856342	B
2FK6	78.543854	B
3ADB	69.539970	B
3AMT	100.812169	B
4YCP	52.986832	B
4YVJ	79.366709	B
5HR7	69.874228	B
1SDS	8.006978	B
2HW8	38.476682	B
1MSW	224.422711	B
1N35	424.752217	B
1Q2R	160.530796	B
1WNE	151.396859	B
1YVP	104.987218	B
1ZBI	36.687311	B
2AZ0	14.511124	B
2BGG	118.795515	B
2EZ6	92.490494	B
2F8S	246.581407	B
2GJW	162.648102	B
2GXB	1.289625	B
2QUX	20.400979	B
2Y8W	22.683101	B
2ZKO	28.358639	B
3BSN	119.348988	B
3DD2	77.735757	B
3EQT	65.461916	B
3FTE	73.283161	B
3KS8	53.965680	B
3MOJ	21.261645	B
3O3I	25.433029	B
3OIJ	72.856563	B
3OL6	163.146702	B
3RW6	43.633509	B
4ERD	31.874350	B
4FVU	42.315796	B
4IG8	95.801475	B
4ILL	152.216550	B
4ZT0	308.885790	B
5ED1	105.494996	B
5F5H	25.506064	B
1AV6	142.161881	B
1C9S	6.349098	B
1CVJ	12.745182	B
1G2E	24.697922	B
1K8W	42.330723	B
1KQ2	124.519473	B
1M5O	12.030726	B
1M8V	23.387491	B
1M8W	50.547667	B
1UVI	179.833643	B
1WPU	26.174560	B
2A8V	15.613533	B
2ASB	10.151359	B
2GIC	129.027824	B
2IX1	133.584095	B
2JEA	97.772376	B
2JLU	101.864519	B
2PY9	6.310063	B
2Q66	137.320215	B
2R7R	375.651085	B
2XGJ	231.340631	B
2XNR	17.697161	B
2XZO	152.430841	B
3AEV	23.912009	B
3BX2	48.157334	B
3D2S	17.151136	B
3MDG	163.209750	B
3NMR	19.940833	B
3O8C	141.655453	B
3PF4	4.429368	B
3QJJ	50.323759	B
3RC8	170.945997	B
4E78	107.718892	B
4H5P	112.506342	B
4HOR	142.282925	B
4J7M	123.209627	B
4M59	401.543451	B
4MDX	27.946654	B
4N2Q	37.961495	B
4QU6	19.740093	B
5BUD	109.880834	B
5DET	45.011395	B
5EIM	33.732190	B
5ELS	29.112366	B
5EX7	89.031461	B
1G1X	7.657013	B
2OZB	18.496318	B
3A6P	259.724275	B
3IEV	28.158373	B
3ZC0	473.460218	B
5WTK	255.781452	B
5LTA	221.505509	B
5WTY	145.532306	B
5GXH	178.170179	B
5T8Y	94.476522	B
5B63	162.756669	B
5SZE	15.723527	B
5V7C	76.634951	B
5W0M	94.879314	B
5WT1	57.720909	B
