Res	Avg.E	Form
1ASY	54.043601	U
1B23	44.481589	U
1C0A	44.203322	U
1QTQ	74.104462	U
2BTE	9.592259	U
2DRB	47.019079	U
2FMT	25.112272	U
2ZZM	63.819082	U
3HL2	17.116725	U
3VJR	7.428989	U
1DFU	12.711795	U
1FEU	19.795144	U
1MMS	21.949099	U
1OOA	19.421914	U
1R3E	47.751353	U
2R8S	33.473637	U
3SNP	40.854182	U
1JBS	21.570380	U
1WSU	10.270909	U
1ZBH	6.833972	U
2BH2	69.107167	U
1F7U	93.354289	U
1H3E	45.530636	U
1H4S	38.035270	U
1J1U	14.176235	U
1N78	67.807338	U
1QF6	45.082290	U
1SER	24.765690	U
1U0B	50.830936	U
1VFG	27.881220	U
2AZX	26.190967	U
2FK6	8.252011	U
3ADB	38.845763	U
3AMT	35.482639	U
4YCP	39.936218	U
4YVJ	36.309946	U
5HR7	47.547200	U
1SDS	9.726508	U
2HW8	22.271731	U
1MSW	34.145135	U
1N35	56.405355	U
1Q2R	31.773598	U
1WNE	45.185740	U
1YVP	41.349148	U
1ZBI	12.137026	U
2AZ0	21.114096	U
2BGG	47.472576	U
2EZ6	26.275687	U
2F8S	19.880857	U
2GJW	74.551208	U
2GXB	12.274546	U
2QUX	27.094320	U
2Y8W	34.812697	U
2ZKO	21.674242	U
3BSN	50.077919	U
3DD2	22.872138	U
3EQT	40.790972	U
3FTE	6.435759	U
3KS8	21.257504	U
3MOJ	12.503784	U
3O3I	43.771987	U
3OIJ	21.146105	U
3OL6	56.297661	U
3RW6	36.875933	U
4ERD	53.385311	U
4FVU	21.145094	U
4IG8	35.106890	U
4ILL	89.859467	U
4ZT0	122.980537	U
5ED1	22.936727	U
5F5H	25.611064	U
1AV6	11.956397	U
1C9S	19.240275	U
1CVJ	34.521250	U
1G2E	57.337722	U
1K8W	29.273787	U
1KQ2	65.223652	U
1M5O	23.691975	U
1M8V	17.962631	U
1M8W	59.800447	U
1UVI	45.374232	U
1WPU	16.472673	U
2A8V	25.357283	U
2ASB	31.116824	U
2GIC	29.419791	U
2IX1	84.245149	U
2JEA	18.311876	U
2JLU	22.936516	U
2PY9	10.419780	U
2Q66	32.896863	U
2R7R	41.641995	U
2XGJ	22.992584	U
2XNR	19.423358	U
2XZO	43.286129	U
3AEV	20.721664	U
3BX2	50.038143	U
3D2S	9.507729	U
3MDG	19.252561	U
3NMR	15.235421	U
3O8C	19.192150	U
3PF4	20.948224	U
3QJJ	55.429968	U
3RC8	27.129922	U
4E78	44.591001	U
4H5P	62.976984	U
4HOR	51.811647	U
4J7M	24.243044	U
4M59	120.630622	U
4MDX	32.044234	U
4N2Q	8.936099	U
4QU6	13.346703	U
5BUD	26.567603	U
5DET	37.243876	U
5EIM	25.667824	U
5ELS	4.116354	U
5EX7	30.855047	U
1G1X	20.021075	U
2OZB	9.676927	U
3A6P	44.508683	U
3IEV	28.322966	U
3ZC0	40.608391	U
5WTK	120.598144	U
5LTA	47.615434	U
5WTY	62.546052	U
5GXH	40.251829	U
5T8Y	6.979419	U
5B63	46.157735	U
5SZE	10.134826	U
5V7C	24.953242	U
5W0M	25.281316	U
5WT1	81.429776	U
5WWX	14.767210	U
5X6B	20.169152	U
5ZQ8	38.124618	U
5ZSC	30.538412	U
5ZW4	4.211243	U
6A4E	15.224834	U
6A6J	22.977921	U
6DCB	6.507521	U
6FQ3	20.599123	U
6GC5	30.862555	U
6HAU	19.709929	U
6I0V	26.502258	U
6L1W	34.198096	U
6L5N	22.156854	U
6LLB	42.927774	U
6LT7	53.765575	U
6LVR	19.976547	U
6PZQ	10.876885	U
6R9P	27.330691	U
6RTI	28.797187	U
6SY4	24.604873	U
6U6Y	77.682945	U
6U9X	38.980805	U
6ZOT	3.168726	U
6WXY	41.465422	U
6ZDP	23.430878	U
7C45	51.434144	U
7DOL	40.091175	U
7E8O	11.700443	U
7EIU	34.245194	U
7K5L	11.704180	U
7K98	115.291251	U
7KFN	25.256937	U
7KKV	13.147145	U
7KL3	23.801005	U
7L6T	15.224151	U
7MJW	36.681392	U
7OG0	14.450590	U
7OM6	57.653978	U
7P0V	9.765053	U
7V4G	25.460994	U
7XD8	65.173619	U
7VSJ	18.555683	U
7VKI	16.353789	U
7VKL	13.077712	U
7Y7Q	47.923819	U
8AF0	14.610197	U
8DZK	22.081132	U
8EDJ	41.686808	U
8H1B	21.457599	U
7YSE	41.468351	U
7XWZ	13.016246	U
8AXF	193.773991	U
8JOZ	29.324236	U
7ZLQ	12.499305	U
8TG4	14.631749	U
1ASY	43.768529	B
1B23	46.138131	B
1C0A	40.185166	B
1QTQ	68.729845	B
2BTE	12.393104	B
2DRB	45.226940	B
2FMT	26.186395	B
2ZZM	59.076331	B
3HL2	18.698767	B
3VJR	4.994208	B
1DFU	18.709320	B
1FEU	28.953850	B
1MMS	24.332110	B
1OOA	22.173482	B
1R3E	43.771814	B
2R8S	37.136384	B
3SNP	44.334025	B
1JBS	26.921409	B
1WSU	9.387781	B
1ZBH	6.517248	B
2BH2	60.612406	B
1F7U	82.118530	B
1H3E	48.166401	B
1H4S	40.508426	B
1J1U	12.088143	B
1N78	74.327728	B
1QF6	43.216077	B
1SER	26.614097	B
1U0B	47.384077	B
1VFG	26.232302	B
2AZX	30.404979	B
2FK6	12.818245	B
3ADB	38.903095	B
3AMT	28.925949	B
4YCP	33.729357	B
4YVJ	46.406331	B
5HR7	52.612560	B
1SDS	8.358132	B
2HW8	32.377926	B
1MSW	31.171115	B
1N35	49.671022	B
1Q2R	28.872277	B
1WNE	41.566399	B
1YVP	54.165370	B
1ZBI	13.279084	B
2AZ0	19.618875	B
2BGG	50.047222	B
2EZ6	33.235167	B
2F8S	19.684598	B
2GJW	70.893001	B
2GXB	12.807178	B
2QUX	29.527545	B
2Y8W	34.532921	B
2ZKO	18.837406	B
3BSN	55.171882	B
3DD2	22.108025	B
3EQT	45.244713	B
3FTE	5.014333	B
3KS8	26.049813	B
3MOJ	12.332891	B
3O3I	37.578539	B
3OIJ	19.401181	B
3OL6	63.922225	B
3RW6	39.687788	B
4ERD	64.705537	B
4FVU	17.911731	B
4IG8	33.781821	B
4ILL	100.075001	B
4ZT0	118.438696	B
5ED1	21.043566	B
5F5H	23.130104	B
1AV6	12.313261	B
1C9S	17.252372	B
1CVJ	18.527215	B
1G2E	49.229754	B
1K8W	27.260308	B
1KQ2	58.847665	B
1M5O	26.994413	B
1M8V	19.139468	B
1M8W	51.428108	B
1UVI	48.939471	B
1WPU	18.092616	B
2A8V	17.365159	B
2ASB	26.355065	B
2GIC	25.035480	B
2IX1	93.123855	B
2JEA	24.765450	B
2JLU	33.182890	B
2PY9	10.803117	B
2Q66	41.445264	B
2R7R	39.454982	B
2XGJ	25.059180	B
2XNR	18.016062	B
2XZO	42.629098	B
3AEV	23.348287	B
3BX2	49.384039	B
3D2S	13.811316	B
3MDG	16.393586	B
3NMR	15.566670	B
3O8C	26.105349	B
3PF4	14.665362	B
3QJJ	49.549156	B
3RC8	21.428149	B
4E78	48.105533	B
4H5P	65.323168	B
4HOR	50.406909	B
4J7M	22.555051	B
4M59	102.862320	B
4MDX	36.278312	B
4N2Q	13.333879	B
4QU6	8.487512	B
5BUD	27.937854	B
5DET	47.181811	B
