Res	Avg.E	Form
1ASY	1.974227	U
1B23	2.535629	U
1C0A	2.102078	U
1QTQ	2.515588	U
2BTE	2.552297	U
2DRB	2.754074	U
2FMT	1.603136	U
2ZZM	2.192541	U
3HL2	2.273365	U
3VJR	1.256365	U
1DFU	1.636513	U
1FEU	2.341734	U
1MMS	1.646555	U
1OOA	1.936171	U
1R3E	2.42043	U
2R8S	3.266888	U
3SNP	2.156287	U
1JBS	2.232133	U
1WSU	2.657851	U
1ZBH	2.438236	U
2BH2	2.4763	U
1F7U	2.575744	U
1H3E	2.02121	U
1H4S	3.427509	U
1J1U	2.205251	U
1N78	2.137257	U
1QF6	2.03127	U
1SER	0.0	U
1U0B	2.405039	U
1VFG	2.218316	U
2AZX	2.030504	U
2FK6	2.484914	U
3ADB	2.423949	U
3AMT	1.90108	U
4YCP	2.898516	U
4YVJ	0.373887	U
5HR7	2.358704	U
1SDS	1.478454	U
2HW8	2.215004	U
1MSW	2.326751	U
1N35	1.892653	U
1Q2R	1.92744	U
1WNE	1.871683	U
1YVP	2.449678	U
1ZBI	1.584748	U
2AZ0	1.728785	U
2BGG	3.607936	U
2EZ6	1.953693	U
2F8S	2.479144	U
2GJW	3.905934	U
2GXB	2.448531	U
2QUX	1.54436	U
2Y8W	2.398199	U
2ZKO	1.602479	U
3BSN	1.733677	U
3EQT	2.261145	U
3FTE	3.584899	U
3KS8	2.540049	U
3MOJ	1.39539	U
3O3I	4.332205	U
3OIJ	1.645145	U
3OL6	1.929029	U
3RW6	2.792963	U
4ERD	4.953658	U
4FVU	2.537181	U
4IG8	1.800066	U
4ILL	2.243952	U
4ZT0	2.928984	U
5F5H	2.683575	U
1AV6	1.930541	U
1C9S	1.605457	U
1CVJ	4.117269	U
1G2E	2.810148	U
1K8W	2.070971	U
1KQ2	4.702683	U
1M5O	2.842812	U
1M8V	2.568488	U
1M8W	4.298917	U
1UVI	2.861906	U
1WPU	1.637302	U
2A8V	3.536658	U
2ASB	1.795332	U
2GIC	1.924512	U
2IX1	2.948783	U
2JEA	2.091547	U
2JLU	2.024683	U
2PY9	1.441749	U
2Q66	2.400342	U
2R7R	2.49269	U
2XGJ	1.713917	U
2XNR	3.588937	U
2XZO	3.05592	U
3AEV	1.745524	U
3BX2	3.67806	U
3D2S	2.642614	U
3DD2	2.249894	U
3MDG	2.996522	U
3NMR	2.329792	U
3O8C	1.723156	U
3PF4	4.16984	U
3QJJ	2.836813	U
3RC8	2.270506	U
4E+078	2.883891	U
4H5P	2.368893	U
4HOR	4.264289	U
4J7M	2.32397	U
4M59	2.152334	U
4MDX	1.985686	U
4N2Q	4.145434	U
4QU6	2.448148	U
5DET	2.926217	U
5ED1	1.964131	U
5EIM	3.505617	U
5ELS	1.763497	U
5EX7	2.796664	U
1G1X	2.765675	U
2OZB	1.494507	U
3A6P	2.118357	U
3IEV	1.986942	U
3ZC0	2.555641	U
5WTK	3.101568	U
5LTA	2.136647	U
5WTY	2.91155	U
5GXH	3.209401	U
5T8Y	1.542405	U
5B63	2.692339	U
5SZE	3.053381	U
5V7C	4.598209	U
5W0M	1.973793	U
5WT1	3.070179	U
5WWX	1.975755	U
5X6B	2.889287	U
5ZQ8	3.452064	U
5ZSC	2.841124	U
5ZW4	2.686832	U
6A4E	1.630502	U
6A6J	3.832104	U
6D12	2.873845	U
6DCB	1.546254	U
6FQ3	3.185832	U
6GC5	4.089348	U
6HAU	4.785533	U
6I0V	2.218661	U
6L1W	3.273443	U
6L5N	2.159355	U
6LLB	1.938603	U
6LT7	2.222295	U
6LVR	2.920234	U
6PZQ	3.13064	U
6R9P	2.84781	U
6RTI	3.304076	U
6SY4	2.741624	U
6U6Y	4.141854	U
6U9X	2.665411	U
6ZOT	2.437173	U
6WXY	2.365404	U
6ZDP	2.367759	U
7C45	3.195982	U
7DOL	2.344781	U
7E8O	2.197499	U
7EIU	4.69019	U
7K5L	3.574825	U
7K98	2.902075	U
7KFN	1.646821	U
7KKV	2.251704	U
7KL3	3.188101	U
7L6T	2.346713	U
7MJW	2.416089	U
7OG0	2.736384	U
7OM6	2.535342	U
7P0V	1.748636	U
7V4G	2.851584	U
7XD8	2.50049	U
7VSJ	3.366531	U
7VKI	3.37653	U
7VKL	1.489672	U
7Y7Q	1.790562	U
8AF0	1.551003	U
8DZK	3.125603	U
8EDJ	4.106598	U
8H1B	1.938339	U
7YSE	2.345536	U
7XWZ	2.747644	U
8AXF	2.635425	U
8JOZ	3.332463	U
7ZLQ	2.737939	U
8TG4	2.139516	U
1ASY	2.000408	B
1B23	2.374452	B
1C0A	2.069119	B
1QTQ	2.622771	B
2BTE	2.426812	B
2DRB	2.677895	B
2FMT	1.378637	B
2ZZM	2.204901	B
3HL2	2.134559	B
3VJR	1.267836	B
1DFU	1.723935	B
1FEU	2.733508	B
1MMS	1.504501	B
1OOA	2.146681	B
1R3E	2.453119	B
2R8S	3.065074	B
3SNP	2.101481	B
1JBS	2.028382	B
1WSU	2.580128	B
1ZBH	2.349334	B
2BH2	2.604477	B
1F7U	2.594601	B
1H3E	2.152302	B
1H4S	2.607144	B
1J1U	2.258777	B
1N78	2.104674	B
1QF6	2.197534	B
1SER	0.0	B
1U0B	2.492472	B
1VFG	1.937179	B
2AZX	2.132118	B
2FK6	2.554386	B
3ADB	2.359685	B
3AMT	1.93208	B
4YCP	2.969565	B
4YVJ	0.348599	B
5HR7	2.294403	B
1SDS	1.53309	B
2HW8	2.277215	B
1MSW	2.441822	B
1N35	1.944275	B
1Q2R	1.979888	B
1WNE	1.853188	B
1YVP	2.398876	B
1ZBI	1.674421	B
2AZ0	1.779045	B
2BGG	4.00296	B
2EZ6	1.982963	B
2F8S	2.471779	B
2GJW	4.009314	B
2GXB	2.150528	B
2QUX	1.532402	B
2Y8W	2.31178	B
2ZKO	1.518151	B
3BSN	1.707074	B
3EQT	2.146487	B
3FTE	3.55525	B
3KS8	2.733968	B
3MOJ	1.472254	B
3O3I	5.278027	B
3OIJ	1.589589	B
3OL6	1.933733	B
3RW6	2.899859	B
4ERD	4.803046	B
4FVU	2.435779	B
