Res	Avg.E	Form
1ASY	2.928186	U
1B23	2.136245	U
1C0A	2.536815	U
1QTQ	2.702678	U
2BTE	2.664427	U
2DRB	2.996855	U
2FMT	1.987067	U
2ZZM	2.635332	U
3HL2	2.567961	U
3VJR	2.566338	U
1DFU	2.321544	U
1FEU	1.976121	U
1MMS	2.4968	U
1OOA	2.522035	U
1R3E	2.474496	U
2R8S	2.255105	U
3SNP	2.711134	U
1JBS	2.849922	U
1WSU	2.779495	U
1ZBH	2.731866	U
2BH2	2.173611	U
1F7U	2.841631	U
1H3E	2.443607	U
1H4S	2.344593	U
1J1U	2.794444	U
1N78	2.818997	U
1QF6	2.780454	U
1SER	2.320927	U
1U0B	2.809359	U
1VFG	2.850113	U
2AZX	3.044807	U
2FK6	2.62345	U
3ADB	2.930222	U
3AMT	2.867056	U
4YCP	2.225959	U
4YVJ	2.464699	U
5HR7	2.469611	U
1SDS	2.378549	U
2HW8	2.104194	U
1MSW	2.585657	U
1N35	2.698373	U
1Q2R	2.822347	U
1WNE	2.905565	U
1YVP	2.39621	U
1ZBI	2.443681	U
2AZ0	2.279604	U
2BGG	2.551254	U
2EZ6	3.403716	U
2F8S	2.799351	U
2GJW	3.055162	U
2GXB	2.063548	U
2QUX	1.876839	U
2Y8W	1.960521	U
2ZKO	2.857672	U
3BSN	2.562483	U
3EQT	2.51167	U
3FTE	2.615183	U
3KS8	2.026985	U
3MOJ	2.232572	U
3O3I	1.913199	U
3OIJ	2.21696	U
3OL6	2.819317	U
3RW6	2.236954	U
4ERD	2.227878	U
4FVU	2.413951	U
4IG8	3.196461	U
4ILL	2.716053	U
4ZT0	2.698099	U
5F5H	2.533	U
1AV6	3.158722	U
1C9S	2.482268	U
1CVJ	2.75295	U
1G2E	2.085236	U
1K8W	2.230667	U
1KQ2	3.03879	U
1M5O	2.716188	U
1M8V	2.06571	U
1M8W	2.427951	U
1UVI	2.721003	U
1WPU	2.276658	U
2A8V	2.159603	U
2ASB	1.894287	U
2GIC	2.887215	U
2IX1	2.29478	U
2JEA	2.096998	U
2JLU	2.411418	U
2PY9	1.802161	U
2Q66	2.712553	U
2R7R	2.844197	U
2XGJ	2.650192	U
2XNR	2.716386	U
2XZO	2.554258	U
3AEV	2.401881	U
3BX2	2.391187	U
3D2S	2.62031	U
3DD2	2.393963	U
3MDG	2.807743	U
3NMR	2.346951	U
3O8C	2.349782	U
3PF4	2.396339	U
3QJJ	2.621918	U
3RC8	2.681826	U
4E+078	2.310315	U
