AA,Interface_Total,Interface_Trans,Interface_Trans_Rate,NonInterface_Total,NonInterface_Trans,NonInterface_Trans_Rate,Odds_Ratio
TRP,68,23,33.82,728,46,6.32,7.578
PHE,292,55,18.84,2505,159,6.35,3.424
TYR,331,41,12.39,2220,127,5.72,2.33
ARG,868,607,69.93,3420,1790,52.34,2.118
MET,140,61,43.57,1241,351,28.28,1.958
GLN,302,161,53.31,2231,877,39.31,1.763
ASP,357,92,25.77,3603,620,17.21,1.67
HIS,249,44,17.67,1383,162,11.71,1.618
ASN,393,109,27.74,2557,497,19.44,1.591
ILE,301,56,18.6,3534,444,12.56,1.591
GLU,354,200,56.5,4826,2171,44.99,1.588
LYS,743,488,65.68,4292,2438,56.8,1.455
PRO,309,73,23.62,2876,507,17.63,1.445
LEU,375,85,22.67,5829,1004,17.22,1.409
SER,489,172,35.17,3315,951,28.69,1.349
CYS,78,15,19.23,749,113,15.09,1.34
VAL,297,70,23.57,3833,765,19.96,1.237
THR,390,75,19.23,2965,620,20.91,0.901
