AA,Interface_Total,Interface_OFF_to_ON_Count,Interface_OFF_to_ON_Percent,NonInterface_Total,NonInterface_OFF_to_ON_Count,NonInterface_OFF_to_ON_Percent
PRO,309,46,14.89,2876,234,8.14
MET,140,12,8.57,1241,10,0.81
LEU,375,18,4.8,5829,219,3.76
ARG,868,27,3.11,3420,52,1.52
SER,489,10,2.04,3315,24,0.72
GLU,354,7,1.98,4826,43,0.89
ASP,357,7,1.96,3603,23,0.64
ILE,301,3,1.0,3534,12,0.34
PHE,292,2,0.68,2505,7,0.28
VAL,297,2,0.67,3833,4,0.1
ASN,393,2,0.51,2557,40,1.56
LYS,743,2,0.27,4292,93,2.17
CYS,78,0,0.0,749,0,0.0
GLN,302,0,0.0,2231,34,1.52
HIS,249,0,0.0,1383,0,0.0
THR,390,0,0.0,2965,17,0.57
TRP,68,0,0.0,728,4,0.55
TYR,331,0,0.0,2220,4,0.18
