AA,Interface_Total,Interface_CS_Percent,Interface_IF_Percent,NonInterface_Total,NonInterface_CS_Percent,NonInterface_IF_Percent
GLN,302,48.01,5.3,2231,30.75,8.56
MET,140,42.14,1.43,1241,20.06,8.22
GLU,354,38.42,18.08,4826,25.47,19.52
LYS,743,35.94,29.74,4292,26.03,30.78
SER,489,35.17,0.0,3315,28.69,0.0
TRP,68,33.82,0.0,728,6.32,0.0
ARG,868,31.11,38.82,3420,20.47,31.87
ASP,357,24.65,1.12,3603,16.51,0.69
ASN,393,23.66,4.07,2557,18.69,0.74
LEU,375,19.73,2.93,5829,11.07,6.16
CYS,78,19.23,0.0,749,15.09,0.0
PHE,292,17.81,1.03,2505,6.35,0.0
VAL,297,17.51,6.06,3833,14.66,5.3
HIS,249,16.87,0.8,1383,11.42,0.29
THR,390,16.15,3.08,2965,16.86,4.05
ILE,301,12.96,5.65,3534,10.07,2.49
PRO,309,8.74,14.89,2876,6.15,11.47
TYR,331,8.46,3.93,2220,4.28,1.44
