AA,RBP_Interface_Residues,PPI_Interface_Residues,JS_Divergence_Bits,Chi2_Stat,p_value
ARG,868,921,1.0,1789.0,0.0
LYS,743,1271,1.0,2014.0,0.0
GLN,302,1023,0.5016,691.767,3.6655540536538363e-146
MET,140,400,0.454,262.854,1.084830895165503e-56
GLU,354,1286,0.4324,772.713,1.5860947092212955e-160
ILE,301,1103,0.36,520.885,1.420090639137165e-112
LEU,375,1950,0.2744,648.67,4.522940376864249e-139
TYR,331,927,0.2388,307.718,1.5131752010065926e-67
PHE,292,895,0.1941,239.017,1.5523306718798956e-51
ASN,393,963,0.1905,289.136,2.233425435873363e-62
HIS,249,453,0.154,134.531,5.709135908895105e-29
TRP,68,411,0.136,51.418,6.8347655871789835e-12
ASP,357,1168,0.1325,219.742,2.283098969163992e-47
PRO,309,1136,0.1218,266.39,1.42589694645389e-58
SER,489,2061,0.0223,48.295,3.257344740493367e-11
VAL,297,1705,0.0078,11.91,0.002592898056714207
CYS,78,442,0.0042,1.629,0.4428019190632322
THR,390,1624,0.0004,0.698,0.7054790498857144
