AA,Interface_Total,RBP_Library_Accuracy_Percent,PPI_Library_Accuracy_Percent,Accuracy_Gain_Percent
TRP,68,97.06,0.0,97.06
PRO,309,96.44,0.0,96.44
CYS,78,94.87,0.0,94.87
TYR,331,94.26,0.0,94.26
PHE,292,91.78,0.0,91.78
ILE,301,91.03,0.0,91.03
HIS,249,88.76,0.0,88.76
MET,140,87.14,0.0,87.14
ASP,357,87.11,0.0,87.11
THR,390,86.15,0.0,86.15
LEU,375,84.0,0.0,84.0
ASN,393,82.7,0.0,82.7
VAL,297,81.14,0.0,81.14
SER,489,74.85,0.0,74.85
GLN,302,72.85,0.0,72.85
GLU,354,64.97,0.0,64.97
LYS,743,55.05,0.0,55.05
ARG,868,49.19,0.0,49.19
