Res	Avg.E	Form
1ASY	350.226762	U
1B23	216.481867	U
1C0A	428.087529	U
1QTQ	348.693652	U
2BTE	615.807695	U
2DRB	342.276559	U
2FMT	160.654814	U
2ZZM	209.611493	U
3HL2	1248.904931	U
3VJR	117.658343	U
1DFU	48.347584	U
1FEU	101.015908	U
1MMS	69.390075	U
1OOA	206.262489	U
1R3E	191.690664	U
2R8S	287.139091	U
3SNP	667.016521	U
1JBS	99.785398	U
1WSU	114.561793	U
1ZBH	375.226253	U
2BH2	223.394055	U
1F7U	420.622865	U
1H3E	560.023528	U
1H4S	710.603317	U
1J1U	445.362717	U
1N78	316.761526	U
1QF6	297.034580	U
1SER	556.108126	U
1U0B	233.549403	U
1VFG	295.641945	U
2AZX	628.832499	U
2FK6	175.471128	U
3ADB	167.036151	U
3AMT	267.214890	U
4YCP	157.334811	U
4YVJ	300.801116	U
5HR7	206.834267	U
1SDS	65.265443	U
2HW8	117.141693	U
1MSW	583.050522	U
1N35	991.306602	U
1Q2R	476.627273	U
1WNE	373.840716	U
1YVP	332.587245	U
1ZBI	88.481056	U
2AZ0	71.091465	U
2BGG	322.030932	U
2EZ6	222.819831	U
2F8S	616.133434	U
2GJW	380.113475	U
2GXB	31.661825	U
2QUX	134.170178	U
2Y8W	83.887204	U
2ZKO	92.358573	U
3BSN	293.437176	U
3DD2	194.858061	U
3EQT	168.135922	U
3FTE	186.022958	U
3KS8	122.411847	U
3MOJ	32.135273	U
3O3I	71.255533	U
3OIJ	286.527431	U
3OL6	324.962009	U
3RW6	152.706968	U
4ERD	117.079517	U
4FVU	140.367049	U
4IG8	251.378261	U
4ILL	330.628372	U
4ZT0	856.149106	U
5ED1	248.047143	U
5F5H	90.543143	U
1AV6	279.044499	U
1C9S	26.784494	U
1CVJ	45.880633	U
1G2E	87.148843	U
1K8W	157.207635	U
1KQ2	299.033480	U
1M5O	43.381546	U
1M8V	86.351600	U
1M8W	213.795130	U
1UVI	464.557602	U
1WPU	84.259757	U
2A8V	73.653521	U
2ASB	104.311042	U
2GIC	333.166726	U
2IX1	376.909692	U
2JEA	310.023995	U
2JLU	301.164156	U
2PY9	28.248488	U
2Q66	381.921174	U
2R7R	958.076676	U
2XGJ	720.648453	U
2XNR	47.377056	U
2XZO	426.056759	U
3AEV	89.291281	U
3BX2	189.466356	U
3D2S	42.997480	U
3MDG	301.709075	U
3NMR	105.619593	U
3O8C	410.033087	U
3PF4	31.513362	U
3QJJ	154.797465	U
3RC8	442.084887	U
4E78	348.092560	U
4H5P	300.697817	U
4HOR	349.368172	U
4J7M	275.847056	U
4M59	953.945482	U
4MDX	105.819458	U
4N2Q	109.189490	U
4QU6	59.120945	U
5BUD	341.908314	U
5DET	110.390476	U
5EIM	94.335291	U
5ELS	96.740731	U
5EX7	186.913494	U
1G1X	71.577229	U
2OZB	68.441898	U
3A6P	731.643800	U
3IEV	166.947938	U
3ZC0	1171.667757	U
5WTK	819.775576	U
5LTA	535.530173	U
5WTY	397.768659	U
5GXH	475.395684	U
5T8Y	277.117279	U
5B63	387.852493	U
5SZE	56.570824	U
5V7C	128.151603	U
5W0M	231.974925	U
5WT1	187.318554	U
5WWX	37.662486	U
5X6B	662.505964	U
5ZQ8	337.597001	U
5ZSC	656.611193	U
5ZW4	161.543651	U
6A4E	128.457793	U
6A6J	46.249626	U
6DCB	165.057687	U
6FQ3	282.240635	U
6GC5	42.813745	U
6HAU	401.776501	U
6I0V	244.772680	U
6L1W	137.121409	U
6L5N	254.154433	U
6LLB	270.537662	U
6LT7	76.333719	U
6LVR	130.164210	U
6PZQ	241.537749	U
6R9P	528.263558	U
6RTI	566.370874	U
6SY4	242.894721	U
6U6Y	672.287554	U
6U9X	180.277964	U
6ZOT	126.580708	U
6WXY	675.313944	U
6ZDP	579.333672	U
7C45	146.849283	U
7DOL	453.005877	U
7E8O	315.600947	U
7EIU	90.270193	U
7K5L	84.123120	U
7K98	1231.875116	U
7KFN	508.553195	U
7KKV	51.575108	U
7KL3	132.510043	U
7L6T	224.239043	U
7MJW	288.701371	U
7OG0	390.878284	U
7OM6	410.116113	U
7P0V	47.487763	U
7V4G	140.097156	U
7XD8	443.865975	U
7VSJ	105.828259	U
7VKI	74.840031	U
7VKL	101.008253	U
7Y7Q	1487.316692	U
8AF0	184.189597	U
8DZK	300.996080	U
8EDJ	275.660163	U
