Res	Avg.E	Form	Res	Avg.E	Form
1ASY	10.307056	U	1ASY	135.453228	B
1B23	17.856705	U	1B23	62.781036	B
1C0A	10.617469	U	1C0A	155.700948	B
1QTQ	26.517715	U	1QTQ	156.384971	B
2BTE	0.890703	U	2BTE	277.625412	B
2DRB	17.591712	U	2DRB	137.101361	B
2FMT	8.808295	U	2FMT	35.759671	B
2ZZM	24.378278	U	2ZZM	67.639128	B
3HL2	2.548578	U	3HL2	459.735705	B
3VJR	1.316237	U	3VJR	53.112161	B
1DFU	1.404531	U	1DFU	13.697101	B
1FEU	4.283102	U	1FEU	34.434339	B
1MMS	1.237077	U	1MMS	21.032363	B
1OOA	5.799062	U	1OOA	92.308540	B
1R3E	23.856714	U	1R3E	57.545269	B
2R8S	15.452531	U	2R8S	107.947506	B
3SNP	11.206035	U	3SNP	269.838339	B
1JBS	6.764261	U	1JBS	35.106128	B
1WSU	2.223325	U	1WSU	30.523359	B
1ZBH	0.000000	U	1ZBH	159.379378	B
2BH2	29.053884	U	2BH2	63.060159	B
1F7U	41.531771	U	1F7U	175.160794	B
1H3E	12.183499	U	1H3E	172.095293	B
1H4S	17.474014	U	1H4S	322.397608	B
1J1U	0.000000	U	1J1U	182.832327	B
1N78	15.016364	U	1N78	120.648639	B
1QF6	14.769199	U	1QF6	123.253026	B
1SER	0.000000	U	1SER	244.578983	B
1U0B	19.591391	U	1U0B	115.368982	B
1VFG	12.002799	U	1VFG	105.224668	B
2AZX	6.839864	U	2AZX	282.856342	B
2FK6	0.547068	U	2FK6	78.543854	B
3ADB	10.138091	U	3ADB	69.539970	B
3AMT	11.248657	U	3AMT	100.812169	B
4YCP	18.371811	U	4YCP	52.986832	B
4YVJ	17.041529	U	4YVJ	79.366709	B
5HR7	13.269979	U	5HR7	69.874228	B
1SDS	0.000000	U	1SDS	8.006978	B
2HW8	8.818440	U	2HW8	38.476682	B
1MSW	17.844961	U	1MSW	224.422711	B
1N35	14.958979	U	1N35	424.752217	B
1Q2R	8.937940	U	1Q2R	160.530796	B
1WNE	13.205919	U	1WNE	151.396859	B
1YVP	9.399825	U	1YVP	104.987218	B
1ZBI	0.000000	U	1ZBI	36.687311	B
2AZ0	0.000000	U	2AZ0	14.511124	B
2BGG	32.033365	U	2BGG	118.795515	B
2EZ6	6.654847	U	2EZ6	92.490494	B
2F8S	9.897592	U	2F8S	246.581407	B
2GJW	44.974508	U	2GJW	162.648102	B
2GXB	7.699794	U	2GXB	1.289625	B
2QUX	5.454094	U	2QUX	20.400979	B
2Y8W	16.020856	U	2Y8W	22.683101	B
2ZKO	0.000000	U	2ZKO	28.358639	B
3BSN	9.066312	U	3BSN	119.348988	B
3DD2	10.797995	U	3DD2	77.735757	B
3EQT	20.580777	U	3EQT	65.461916	B
3FTE	2.303409	U	3FTE	73.283161	B
3KS8	4.906265	U	3KS8	53.965680	B
3MOJ	0.000000	U	3MOJ	21.261645	B
3O3I	36.504200	U	3O3I	25.433029	B
3OIJ	0.000000	U	3OIJ	72.856563	B
3OL6	13.010899	U	3OL6	163.146702	B
3RW6	13.837274	U	3RW6	43.633509	B
4ERD	36.917737	U	4ERD	31.874350	B
4FVU	11.707123	U	4FVU	42.315796	B
4IG8	3.736120	U	4IG8	95.801475	B
4ILL	30.072927	U	4ILL	152.216550	B
4ZT0	63.094449	U	4ZT0	308.885790	B
5ED1	4.417646	U	5ED1	105.494996	B
5F5H	10.408066	U	5F5H	25.506064	B
1AV6	2.576577	U	1AV6	142.161881	B
1C9S	8.333012	U	1C9S	6.349098	B
1CVJ	24.275150	U	1CVJ	12.745182	B
1G2E	32.280793	U	1G2E	24.697922	B
1K8W	7.718083	U	1K8W	42.330723	B
1KQ2	43.312449	U	1KQ2	124.519473	B
1M5O	8.256289	U	1M5O	12.030726	B
1M8V	6.833514	U	1M8V	23.387491	B
1M8W	39.929471	U	1M8W	50.547667	B
1UVI	24.860660	U	1UVI	179.833643	B
1WPU	3.004759	U	1WPU	26.174560	B
2A8V	20.460388	U	2A8V	15.613533	B
2ASB	8.513295	U	2ASB	10.151359	B
2GIC	5.845194	U	2GIC	129.027824	B
2IX1	39.563792	U	2IX1	133.584095	B
2JEA	3.118431	U	2JEA	97.772376	B
2JLU	1.748405	U	2JLU	101.864519	B
2PY9	0.000000	U	2PY9	6.310063	B
2Q66	14.744349	U	2Q66	137.320215	B
2R7R	17.958539	U	2R7R	375.651085	B
2XGJ	4.709067	U	2XGJ	231.340631	B
2XNR	12.261307	U	2XNR	17.697161	B
2XZO	17.435870	U	2XZO	152.430841	B
3AEV	2.032999	U	3AEV	23.912009	B
3BX2	25.428979	U	3BX2	48.157334	B
3D2S	2.254161	U	3D2S	17.151136	B
3MDG	9.473669	U	3MDG	163.209750	B
3NMR	6.393756	U	3NMR	19.940833	B
3O8C	2.136950	U	3O8C	141.655453	B
3PF4	16.258580	U	3PF4	4.429368	B
3QJJ	28.067641	U	3QJJ	50.323759	B
3RC8	10.707970	U	3RC8	170.945997	B
4E78	18.880934	U	4E78	107.718892	B
4H5P	29.952559	U	4H5P	112.506342	B
4HOR	33.305345	U	4HOR	142.282925	B
4J7M	6.663558	U	4J7M	123.209627	B
4M59	29.342013	U	4M59	401.543451	B
4MDX	7.908398	U	4MDX	27.946654	B
4N2Q	2.674007	U	4N2Q	37.961495	B
4QU6	9.313844	U	4QU6	19.740093	B
5BUD	8.000846	U	5BUD	109.880834	B
5DET	11.698063	U	5DET	45.011395	B
5EIM	10.486655	U	5EIM	33.732190	B
5ELS	0.000000	U	5ELS	29.112366	B
5EX7	16.448474	U	5EX7	89.031461	B
1G1X	11.756482	U	1G1X	7.657013	B
2OZB	0.000000	U	2OZB	18.496318	B
3A6P	9.154547	U	3A6P	259.724275	B
3IEV	8.426577	U	3IEV	28.158373	B
3ZC0	8.155533	U	3ZC0	473.460218	B
5WTK	59.085918	U	5WTK	255.781452	B
5LTA	19.226934	U	5LTA	221.505509	B
5WTY	34.668073	U	5WTY	145.532306	B
5GXH	26.396316	U	5GXH	178.170179	B
5T8Y	0.000000	U	5T8Y	94.476522	B
5B63	16.938171	U	5B63	162.756669	B
5SZE	3.378662	U	5SZE	15.723527	B
5V7C	14.994889	U	5V7C	76.634951	B
5W0M	6.684083	U	5W0M	94.879314	B
5WT1	44.450332	U	5WT1	57.720909	B
5WWX	4.449005	U	5WWX	7.328025	B
5X6B	7.806960	U	5X6B	252.687492	B
5ZQ8	22.309971	U	5ZQ8	112.073461	B
5ZSC	16.267015	U	5ZSC	233.894977	B
5ZW4	2.838418	U	5ZW4	53.554806	B
6A4E	4.207872	U	6A4E	24.924788	B
6A6J	15.228253	U	6A6J	8.685615	B
6DCB	2.144401	U	6DCB	73.525011	B
6FQ3	9.372886	U	6FQ3	146.503647	B
6GC5	19.641491	U	6GC5	23.898276	B
6HAU	13.909383	U	6HAU	135.059268	B
6I0V	7.024035	U	6I0V	137.733845	B
6L1W	18.080372	U	6L1W	35.808237	B
6L5N	11.438030	U	6L5N	78.765092	B
6LLB	17.315064	U	6LLB	91.799700	B
6LT7	14.652420	U	6LT7	24.588799	B
6LVR	10.034563	U	6LVR	41.592471	B
6PZQ	6.877338	U	6PZQ	56.705123	B
6R9P	17.813770	U	6R9P	218.192383	B
6RTI	10.233955	U	6RTI	247.205938	B
6SY4	6.577160	U	6SY4	82.822393	B
6U6Y	53.001173	U	6U6Y	254.992076	B
6U9X	16.158561	U	6U9X	80.982855	B
6ZOT	0.000000	U	6ZOT	50.200092	B
6WXY	13.414752	U	6WXY	289.925391	B
6ZDP	3.977156	U	6ZDP	242.623000	B
7C45	25.565876	U	7C45	39.660329	B
7DOL	18.839791	U	7DOL	156.735089	B
