B_PDB	IU_DELG	IB_DELG	IU_AVG_DELG	IB_AVG_DELG	I_SUM_DELTAE	I_AVG_DELTAE	ICOUNT	U_PDB	NU_DELG	NB_DELG	NU_AVG_DELG	NB_AVG_DELG	N_SUM_DELTAE	N_AVG_DELTAE	NCOUNT
1ASY	58.20649989540833	46.39261879167069	0.9542049163181693	0.7605347342896834	11.813881103737636	0.19367018202848582	61	1ASY	365.7328567996564	357.35159149280366	1.0820498721883327	1.0572532292686498	8.381265306852756	0.02479664291968271	338
1B23	46.25555986120085	48.14661509294011	1.0279013302489077	1.0699247798431135	-1.8910552317392555	-0.042023449594205675	45	1B23	231.71702704491622	241.1693992414907	0.9195120120830009	0.9570214255614711	-9.452372196574471	-0.03750941347847012	252
1C0A	46.88575280323558	42.055936118188335	0.9975692085794805	0.8948071514508157	4.829816685047248	0.10276205712866486	47	1C0A	451.05368276124693	426.75363318681593	1.1304603577976113	1.0695579779118194	24.300049574431053	0.06090237988579211	399
1QTQ	77.36021401889829	73.45317746702892	1.1211625220130188	1.0645388038699843	3.9070365518693553	0.05662371814303414	69	1QTQ	367.981677779209	383.18154787475	1.0604659301994497	1.104269590417147	-15.199870095540962	-0.0438036602176973	347
2BTE	9.80681370152146	13.511729473785826	0.75437028473242	1.0393638056758328	-3.7049157722643624	-0.2849935209434125	13	2BTE	663.2647281687439	690.9955481231384	1.0908959344880655	1.136505835728846	-27.73081995439454	-0.045609901240780494	608
2DRB	48.63650813362656	47.52235136959622	0.99258179864544	0.9698439055019638	1.1141567640303487	0.022737893143476504	49	2DRB	359.35539643536566	346.2142995347689	1.17436404063845	1.1314192795253886	13.141096900596754	0.04294476111306129	306
2FMT	29.07986791672609	30.852920779176323	0.9693289305575363	1.0284306926392108	-1.7730528624502344	-0.05910176208167448	30	2FMT	175.48807846277305	170.04219263739276	0.8999388639116567	0.8720112442943219	5.4458858253803	0.02792761961733487	195
2ZZM	67.98375740304638	63.219081430012885	1.1144878262794489	1.0363783840985719	4.7646759730334765	0.07810944218087666	61	2ZZM	212.51803553681168	206.2894633654389	1.011990645413389	0.9823307779306615	6.228572171372713	0.029659867482727205	210
3HL2	18.15364860009336	19.803365249527353	0.75640202500389	0.8251402187303064	-1.6497166494339948	-0.06873819372641644	24	3HL2	1302.4365835819472	1391.3754271240914	0.9719675996880203	1.038339870988128	-88.93884354214445	-0.0663722713001078	1340
3VJR	7.428988932347204	4.994208427768216	0.9286236165434005	0.624276053471027	2.434780504578989	0.30434756307237365	8	3VJR	127.59315908986719	133.9712573655974	0.9968215553895874	1.0466504481687298	-6.378098275730238	-0.049828892779142486	128
1DFU	14.031995639131143	19.82141756140929	0.7385260862700601	1.043232503232068	-5.78942192227815	-0.3047064169620079	19	1DFU	50.338773310798835	50.578393834704485	0.9870347707999771	0.991733212445186	-0.2396205239056528	-0.004698441645208879	51
1FEU	21.44748523526435	30.510758378757057	0.857899409410574	1.2204303351502823	-9.063273143492703	-0.36253092573970813	25	1FEU	110.9399250382447	113.32712954409446	0.9168588846135926	0.9365878474718551	-2.3872045058497804	-0.019728962858262648	121
1MMS	23.73744272965521	27.61151296409945	0.7417950853017253	0.8628597801281078	-3.8740702344442397	-0.12106469482638249	32	1MMS	74.67229229401077	68.98484686611309	1.0517224266762082	0.9716175614945506	5.687445427897685	0.08010486518165753	71
1OOA	22.04283356346456	25.483698265766748	0.91845139847769	1.0618207610736146	-3.440864702302192	-0.14336936259592467	24	1OOA	219.09231044306864	242.6402940106548	0.9780906716208422	1.0832155982618519	-23.54798356758622	-0.1051249266410099	224
1R3E	50.02489674018616	45.967751146142234	1.1910689700044323	1.094470265384339	4.057145594043912	0.09659870462009315	42	1R3E	199.42100441625985	202.313050169508	0.9727853873963895	0.9868929276561366	-2.8920457532481656	-0.01410754025974715	205
2R8S	34.38199571045543	38.27551345714814	1.3223844504021318	1.4721351329672363	-3.8935177466927193	-0.1497506825651046	26	2R8S	306.0731670523817	319.8087494837025	1.0270911646053076	1.0731837230996728	-13.735582431320744	-0.04609255849436491	298
3SNP	42.48070983476179	46.59348633206114	0.9440157741058175	1.0354108073791364	-4.112776497299343	-0.09139503327331874	45	3SNP	713.139882771645	706.4316394263635	1.1108097862486683	1.1003608090753325	6.7082433452815025	0.010448977173335674	642
1JBS	21.570379537680488	26.921409424808296	0.8628151815072195	1.0768563769923318	-5.351029887127805	-0.2140411954851122	25	1JBS	106.35430216251933	94.4085538819537	1.1949921591294308	1.0607702683365583	11.945748280565649	0.13422189079287247	89
1WSU	10.270908740349519	9.38778119788909	0.9337189763954108	0.8534346543535537	0.8831275424604265	0.08028432204185695	11	1WSU	118.03989990484652	96.3133326665082	1.2971417571961157	1.0583882710605297	21.726567238338315	0.2387534861355859	91
1ZBH	8.023377891111558	7.748281213475959	0.7293979901010507	0.7043892012250872	0.275096677635601	0.025008788875963726	11	1ZBH	401.979351045647	402.9535640647182	1.1013132905360192	1.1039823673005977	-0.97421301907118	-0.002669076764578575	365
2BH2	71.5143488315067	62.2722369937645	1.0835507398713136	0.9435187423297652	9.24211183774218	0.14003199754154816	66	2BH2	243.1221274739436	239.29434634945872	0.9763940862407374	0.9610214712829668	3.827781124484883	0.015372614957770614	249
1F7U	97.18796545215852	85.77015697843484	1.1044086983199832	0.9746608747549413	11.417808473723683	0.12974782356504186	88	1F7U	436.77930441166836	443.7485795677329	1.0784674183004157	1.0956755051055134	-6.96927515606454	-0.01720808680509763	405
1H3E	51.65101048783239	53.65473163529864	0.9391092815969525	0.975540575187248	-2.0037211474662473	-0.036431293590295406	55	1H3E	606.5014634247815	567.268678238682	1.0621741916370955	0.9934652858821051	39.232785186099434	0.06870890575499025	571
1H4S	39.4852765898693	42.217949869482275	1.1281507597105513	1.206227139128065	-2.7326732796129747	-0.07807637941751357	35	1H4S	752.8246154513703	762.252064219091	1.1169504680287392	1.1309377807404912	-9.42744876772088	-0.013987312711752048	674
1J1U	15.965118886330819	15.03236945023735	0.840269415070043	0.7911773394861763	0.9327494360934694	0.04909207558386681	19	1J1U	464.7718882694652	484.33489828111135	1.0611230325786876	1.1057874389979712	-19.563010011646114	-0.04466440641928336	438
1N78	75.71620274205951	81.29839013181301	0.9962658255534146	1.0697156596291186	-5.582187389753492	-0.07344983407570384	76	1N78	335.15796978351705	328.46852870613776	1.1677978041237527	1.1444896470597135	6.689441077379249	0.023308157064039197	287
1QF6	47.516866396491025	45.56675945775618	1.0109971573721495	0.969505520377791	1.95010693873484	0.041491636994358295	47	1QF6	306.9407516676216	316.25201183609556	1.0884423818000766	1.1214610348797716	-9.311260168473996	-0.03301865307969502	282
1SER	26.325303622616453	27.664276959549078	0.7742736359593074	0.81365520469262	-1.3389733369326229	-0.03938156873331244	34	1SER	601.5612484077697	629.5981110564571	1.0498451106592839	1.0987750629257542	-28.036862648687627	-0.04892995226647055	573
1U0B	52.85302721594029	48.386998762473574	1.0363338669792213	0.9487646816171289	4.466028453466734	0.08756918536209282	51	1U0B	244.04376487331513	252.97754274785768	1.0656932963900223	1.1047054268465402	-8.933777874542567	-0.03901213045651776	229
1VFG	29.28475495354131	27.816787896984	0.9151485922981659	0.86927462178075	1.4679670565573133	0.04587397051741604	32	1VFG	302.5632689082198	268.83158882281873	1.2102530756328793	1.0753263552912748	33.73168008540102	0.13492672034160408	250
2AZX	28.793655398256647	32.89932694780437	0.8226758685216184	0.9399807699372676	-4.105671549547713	-0.11730490141564895	35	2AZX	655.9836577339789	658.5159058659028	1.1329596852054904	1.1373331707528547	-2.532248131923952	-0.004373485547364339	579
2FK6	8.914256058643451	13.34201916001839	0.5942837372428967	0.889467944001226	-4.427763101374938	-0.29518420675832924	15	2FK6	184.7449251885992	212.95048983517552	0.982685772279783	1.1327153714636995	-28.20556464657632	-0.1500295991839166	188
3ADB	41.82328579296782	40.97798389330684	1.0455821448241955	1.024449597332671	0.845301899660988	0.0211325474915247	40	3ADB	171.5742593898486	175.3280522433289	1.0398439963021127	1.062594256020175	-3.7537928534802827	-0.02275025971806232	165
3AMT	39.04721247190488	33.38286824097044	0.9296955350453542	0.7948301962135819	5.664344230934444	0.13486533883177249	42	3AMT	280.9721404568053	266.39464623685615	1.156263952497141	1.0962742643492023	14.577494219949171	0.05998968814793898	243
4YCP	40.69607424883223	34.70825305418061	1.2717523202760073	1.084632907943144	5.987821194651618	0.18711941233286306	32	4YCP	169.84567683838026	189.3087710057165	0.8710034709660526	0.9708142102857256	-19.463094167336187	-0.09981073931967276	195
4YVJ	38.29401115336708	48.03988554033824	1.1966878485427213	1.50124642313557	-9.745874386971158	-0.3045585745928487	32	4YVJ	325.2877851133329	308.3680379841745	0.9652456531552905	0.9150386883803399	16.919747129158452	0.050206964774950895	337
5HR7	47.5471997194353	52.61255953033541	0.9509439943887059	1.0522511906067082	-5.0653598109001035	-0.10130719621800206	50	5HR7	218.68017583755483	218.57972943988943	1.0218699805493217	1.0214006048592965	0.10044639766544117	0.000469375690025426	214
1SDS	10.714193690018487	8.809270713608818	0.8928494741682073	0.7341058928007348	1.9049229764096716	0.15874358136747263	12	1SDS	68.22198544238971	58.550840436595905	0.9745997920341387	0.8364405776656558	9.671145005793798	0.13815921436848283	70
2HW8	23.91114620934204	34.27701014884374	0.9564458483736815	1.3710804059537498	-10.365863939501699	-0.41463455758006795	25	2HW8	126.24353795147283	138.2425285610343	0.9148082460251654	1.0017574533408282	-11.998990609561474	-0.08694920731566286	138
1MSW	34.7500186060654	31.821044029465554	1.1982765036574277	1.0972773803263984	2.9289745765998414	0.10099912333102902	29	1MSW	613.0762397062206	613.2884198149494	1.053395600869795	1.0537601715033496	-0.21218010872884374	-0.0003645706335547143	582
1N35	59.37676743458162	53.00667615037595	0.9896127905763604	0.8834446025062659	6.370091284205682	0.10616818807009469	60	1N35	1052.3989891750748	1058.1063047011685	1.1231579393544022	1.1292489911431893	-5.7073155260935735	-0.006091051788787165	937
1Q2R	31.7735980509085	28.872277147874083	1.024954775835758	0.9313637789636801	2.901320903034421	0.0935909968720781	31	1Q2R	503.2341558399477	467.69151212261806	1.115818527361303	1.0370100047064703	35.542643717329625	0.07880852265483287	451
1WNE	46.12118133691817	42.89062508742631	0.9224236267383634	0.8578125017485262	3.230556249491862	0.06461112498983723	50	1WNE	390.9421171147583	358.1930600643936	1.1882739122029127	1.0887327053628983	32.7490570503647	0.09954120684001427	329
1YVP	42.474479588267734	54.85701499121276	0.7865644368197728	1.0158706479854214	-12.382535402945011	-0.22930621116564837	54	1YVP	349.8748780520084	357.53154224234265	0.9507469512282837	0.9715531039194094	-7.656664190334179	-0.020806152691125485	368
1ZBI	12.137026168827717	13.279084220897769	0.7139427158133951	0.7811226012292805	-1.1420580520700516	-0.06717988541588539	17	1ZBI	92.12062027318902	104.19389334841124	0.9905443040127851	1.1203644446065724	-12.073273075222223	-0.12982014059378735	93
2AZ0	23.318732994819587	21.313919199368552	0.8328118926721281	0.7612113999774482	2.0048137954510357	0.07160049269467984	28	2AZ0	75.48592406074646	78.1932093280773	0.8481564501207467	0.8785753857087337	-2.7072852673308376	-0.030418935587986938	89
2BGG	50.0262262898126	51.03855003027381	1.5633195715566437	1.5949546884460566	-1.0123237404612069	-0.031635116889412715	32	2BGG	335.06384316606164	323.8971483371779	1.105821264574461	1.0689674862613132	11.16669482888383	0.036853778313147956	303
2EZ6	28.640127523137206	35.111807857364624	0.8423566918569767	1.0327002310989595	-6.471680334227423	-0.19034353924198302	34	2EZ6	225.26591537865085	214.5892767541472	1.217653596641356	1.1599420365089037	10.67663862450368	0.05771156013245232	185
2F8S	19.880856517028146	19.684598238847727	1.0463608693172708	1.0360314862551434	0.19625827818042285	0.010329383062127518	19	2F8S	633.9851064138609	624.3742141426471	1.1402609827587427	1.1229752052925308	9.610892271213853	0.017285777466211967	556
2GJW	76.38771915492931	72.14736396837225	1.4145873917579503	1.3360622957105972	4.240355186557035	0.0785250960473525	54	2GJW	387.32046466727286	407.59578202583776	1.0669985252541951	1.1228533940105723	-20.27531735856489	-0.05585486875637711	363
2GXB	14.680321885171573	15.945140956388046	1.4680321885171572	1.5945140956388046	-1.2648190712164733	-0.12648190712164734	10	2GXB	31.952787100954527	29.878367390959884	0.8635888405663386	0.8075234429989158	2.0744197099946344	0.05606539756742255	37
2QUX	27.09432004564675	29.52754488515631	0.9031440015215584	0.984251496171877	-2.4332248395095615	-0.08110749465031872	30	2QUX	140.16471179786132	137.25478028077075	0.8652142703571686	0.8472517301282145	2.9099315170905777	0.017962540228954185	162
2Y8W	35.988598830778706	34.86235865544042	1.1996199610259568	1.162078621848014	1.126240175338289	0.037541339177942966	30	2Y8W	99.24371206034759	102.29918873867841	0.8705588777223473	0.8973613047252492	-3.0554766783308205	-0.026802427002901932	114
2ZKO	23.273040051977127	20.768955040826416	0.8311800018563259	0.7417483943152291	2.5040850111507065	0.08943160754109666	28	2ZKO	94.05941732141886	88.39208099461243	1.0336199705650424	0.9713415493913453	5.6673363268064225	0.06227842117369695	91
3BSN	52.188873891937455	57.263166585998114	0.8417560305151203	0.9235994610644858	-5.074292694060677	-0.08184343054936576	62	3BSN	323.60371076412764	347.9689816160575	0.965981226161575	1.0387133779583806	-24.36527085192981	-0.07273215179680541	335
3DD2	23.708692580731196	24.35172099938472	1.0308127209013562	1.0587704782341183	-0.6430284186535261	-0.027957757332762005	23	3DD2	203.90343858512023	194.8780249111992	1.102180749108758	1.0533947292497254	9.025413673921053	0.04878601985903272	185
